address_id,district,state,postal_code
ADDR-0001,Mysuru,TAMIL_NADU,514812
ADDR-0002,Mangaluru,KARNATAKA,589512
ADDR-0003,Chennai,KARNATAKA,517188
ADDR-0004,Chennai,TAMIL_NADU,532681
ADDR-0005,Tumakuru,ANDHRA_PRADESH,532234
ADDR-0006,Tumakuru,KARNATAKA,525124
ADDR-0007,Tirupati,TAMIL_NADU,560080
ADDR-0008,Belagavi,TAMIL_NADU,540369
ADDR-0009,Mangaluru,ANDHRA_PRADESH,531421
ADDR-0010,Coimbatore,ANDHRA_PRADESH,500275
ADDR-0011,Tirupati,ANDHRA_PRADESH,579525
ADDR-0012,Mysuru,KARNATAKA,518518
ADDR-0013,Tumakuru,TAMIL_NADU,569116
ADDR-0014,Tumakuru,KARNATAKA,571287
ADDR-0015,Coimbatore,TAMIL_NADU,567430
ADDR-0016,Chennai,ANDHRA_PRADESH,557937
ADDR-0017,Chennai,ANDHRA_PRADESH,547925
ADDR-0018,Shivamogga,TAMIL_NADU,591805
ADDR-0019,Belagavi,KARNATAKA,536666
ADDR-0020,Belagavi,KARNATAKA,502518
ADDR-0021,Tumakuru,ANDHRA_PRADESH,558295
ADDR-0022,Mysuru,KARNATAKA,548655
ADDR-0023,Mysuru,TAMIL_NADU,510537
ADDR-0024,Mangaluru,ANDHRA_PRADESH,595286
ADDR-0025,Tirupati,KARNATAKA,560569
ADDR-0026,Bengaluru Urban,ANDHRA_PRADESH,582676
ADDR-0027,Mysuru,TAMIL_NADU,538266
ADDR-0028,Bengaluru Urban,ANDHRA_PRADESH,538496
ADDR-0029,Tirupati,KARNATAKA,563850
ADDR-0030,Mangaluru,ANDHRA_PRADESH,506193
ADDR-0031,Belagavi,ANDHRA_PRADESH,553755
ADDR-0032,Tirupati,TAMIL_NADU,534498
ADDR-0033,Tumakuru,ANDHRA_PRADESH,525580
ADDR-0034,Mysuru,ANDHRA_PRADESH,564864
ADDR-0035,Chennai,KARNATAKA,536618
ADDR-0036,Coimbatore,KARNATAKA,560763
ADDR-0037,Hubballi,ANDHRA_PRADESH,539107
ADDR-0038,Bengaluru Urban,TAMIL_NADU,564911
ADDR-0039,Chennai,ANDHRA_PRADESH,572371
ADDR-0040,Belagavi,ANDHRA_PRADESH,502592
ADDR-0041,Tirupati,ANDHRA_PRADESH,501509
ADDR-0042,Tirupati,ANDHRA_PRADESH,556216
ADDR-0043,Mysuru,TAMIL_NADU,518898
ADDR-0044,Chennai,TAMIL_NADU,573581
ADDR-0045,Hubballi,TAMIL_NADU,595170
ADDR-0046,Mangaluru,TAMIL_NADU,506045
ADDR-0047,Bengaluru Urban,ANDHRA_PRADESH,534625
ADDR-0048,Bengaluru Urban,KARNATAKA,566720
ADDR-0049,Bengaluru Urban,ANDHRA_PRADESH,578956
ADDR-0050,Tumakuru,TAMIL_NADU,547429
ADDR-0051,Tumakuru,TAMIL_NADU,519538
ADDR-0052,Chennai,KARNATAKA,530563
ADDR-0053,Belagavi,TAMIL_NADU,535892
ADDR-0054,Mysuru,ANDHRA_PRADESH,523275
ADDR-0055,Tumakuru,KARNATAKA,583316
ADDR-0056,Belagavi,TAMIL_NADU,521509
ADDR-0057,Shivamogga,TAMIL_NADU,515243
ADDR-0058,Tumakuru,KARNATAKA,506190
ADDR-0059,Bengaluru Urban,KARNATAKA,516167
ADDR-0060,Belagavi,TAMIL_NADU,542226
ADDR-0061,Mysuru,ANDHRA_PRADESH,551997
ADDR-0062,Bengaluru Urban,ANDHRA_PRADESH,572082
ADDR-0063,Belagavi,ANDHRA_PRADESH,591534
ADDR-0064,Shivamogga,ANDHRA_PRADESH,511468
ADDR-0065,Bengaluru Urban,TAMIL_NADU,597095
ADDR-0066,Belagavi,ANDHRA_PRADESH,591483
ADDR-0067,Coimbatore,ANDHRA_PRADESH,592853
ADDR-0068,Shivamogga,TAMIL_NADU,589848
ADDR-0069,Bengaluru Urban,ANDHRA_PRADESH,535868
ADDR-0070,Mysuru,ANDHRA_PRADESH,500225
ADDR-0071,Tirupati,TAMIL_NADU,522863
ADDR-0072,Bengaluru Urban,ANDHRA_PRADESH,560118
ADDR-0073,Belagavi,TAMIL_NADU,555288
ADDR-0074,Tumakuru,TAMIL_NADU,530784
ADDR-0075,Shivamogga,ANDHRA_PRADESH,546776
ADDR-0076,Hubballi,ANDHRA_PRADESH,588763
ADDR-0077,Belagavi,TAMIL_NADU,506392
ADDR-0078,Mangaluru,TAMIL_NADU,582716
ADDR-0079,Hubballi,KARNATAKA,599677
ADDR-0080,Coimbatore,KARNATAKA,575147
ADDR-0081,Tirupati,TAMIL_NADU,569572
ADDR-0082,Coimbatore,ANDHRA_PRADESH,530679
ADDR-0083,Tirupati,KARNATAKA,552930
ADDR-0084,Chennai,TAMIL_NADU,560914
ADDR-0085,Coimbatore,ANDHRA_PRADESH,572730
ADDR-0086,Coimbatore,ANDHRA_PRADESH,573573
ADDR-0087,Tumakuru,KARNATAKA,579514
ADDR-0088,Mangaluru,ANDHRA_PRADESH,580138
ADDR-0089,Coimbatore,ANDHRA_PRADESH,573981
ADDR-0090,Mysuru,ANDHRA_PRADESH,515290
ADDR-0091,Hubballi,ANDHRA_PRADESH,551309
ADDR-0092,Bengaluru Urban,KARNATAKA,529757
ADDR-0093,Mysuru,TAMIL_NADU,535867
ADDR-0094,Coimbatore,TAMIL_NADU,512468
ADDR-0095,Tumakuru,TAMIL_NADU,553576
ADDR-0096,Hubballi,TAMIL_NADU,514027
ADDR-0097,Mysuru,ANDHRA_PRADESH,574188
ADDR-0098,Mangaluru,TAMIL_NADU,592749
ADDR-0099,Bengaluru Urban,KARNATAKA,591057
ADDR-0100,Tirupati,TAMIL_NADU,599794
ADDR-0101,Mangaluru,KARNATAKA,586029
ADDR-0102,Chennai,TAMIL_NADU,523512
