award_id,tender_id,vendor_id,award_date,award_value
A-T00001,T00001,V0062,2026-03-12,17548848.83
A-T00002,T00002,V0088,2026-03-22,17651313.88
A-T00003,T00003,V0153,2025-07-21,29362220.32
A-T00004,T00004,V0294,2026-09-01,3455464.27
A-T00005,T00005,V0063,2026-05-26,3829074.66
A-T00006,T00006,V0063,2025-05-26,4944317.75
A-T00007,T00007,V0455,2026-02-12,4803136.7
A-T00008,T00008,V0061,2025-06-10,15452695.97
A-T00009,T00009,V0009,2024-07-13,52280904.64
A-T00010,T00010,V0510,2025-03-08,43429509.82
A-T00011,T00011,V0093,2026-03-28,19215575.61
A-T00012,T00012,V0062,2026-08-17,31243343.33
A-T00013,T00013,V0062,2026-02-03,6510539.58
A-T00014,T00014,V0060,2024-10-28,79169420.62
A-T00015,T00015,V0061,2024-07-26,5890235.9
A-T00016,T00016,V0407,2025-05-11,1452538.76
A-T00017,T00017,V0325,2024-08-07,28421928.41
A-T00018,T00018,V0016,2024-10-14,1875349.2
A-T00019,T00019,V0063,2024-07-04,27013551.9
A-T00020,T00020,V0042,2025-04-16,73714368.74
A-T00021,T00021,V0456,2024-09-21,7032662.35
A-T00022,T00022,V0448,2025-12-30,11072067.13
A-T00023,T00023,V0063,2026-03-06,10497981.03
A-T00024,T00024,V0063,2026-09-02,1694544.42
A-T00025,T00025,V0335,2024-08-10,7142930.53
A-T00026,T00026,V0061,2024-10-27,16280068.9
A-T00027,T00027,V0062,2024-07-19,23771002.42
A-T00028,T00028,V0063,2026-06-26,12348245.55
A-T00029,T00029,V0536,2024-05-13,13092646.06
A-T00030,T00030,V0061,2025-04-04,4736482.09
A-T00031,T00031,V0209,2026-08-21,34727890.22
A-T00032,T00032,V0034,2026-09-10,2718884.4
A-T00033,T00033,V0281,2025-02-28,28380216.16
A-T00034,T00034,V0063,2025-08-14,2176626.48
A-T00035,T00035,V0063,2026-01-13,6821073.15
A-T00036,T00036,V0062,2025-08-19,18938909.55
A-T00037,T00037,V0072,2025-01-03,5055770.56
A-T00038,T00038,V0061,2026-07-08,9225886.69
A-T00039,T00039,V0418,2025-08-17,32593299.49
A-T00040,T00040,V0080,2024-08-10,5421192.74
A-T00041,T00041,V0062,2024-05-04,141399991.86
A-T00042,T00042,V0390,2026-02-20,32419744.63
A-T00043,T00043,V0121,2024-10-24,17893689.1
A-T00044,T00044,V0367,2026-08-01,3722622.54
A-T00045,T00045,V0061,2026-05-18,10782858.93
A-T00046,T00046,V0245,2026-03-23,15933321.52
A-T00047,T00047,V0063,2024-04-15,24318184.61
A-T00048,T00048,V0224,2026-03-10,236848902.98
A-T00049,T00049,V0061,2026-02-21,22662032.97
A-T00050,T00050,V0230,2024-06-01,1703782.21
A-T00051,T00051,V0063,2026-06-07,3524930.13
A-T00052,T00052,V0061,2026-07-21,4654329.41
A-T00053,T00053,V0052,2026-04-18,8732212.84
A-T00054,T00054,V0420,2024-10-13,14018514.63
A-T00055,T00055,V0015,2026-05-10,1638338.77
A-T00056,T00056,V0230,2025-01-31,9202093.01
A-T00057,T00057,V0276,2025-11-27,1761031.1
A-T00058,T00058,V0293,2026-09-17,18712328.24
A-T00059,T00059,V0063,2025-03-09,5593501.91
A-T00060,T00060,V0062,2024-03-28,39927706.7
A-T00061,T00061,V0387,2025-09-15,9962482.26
A-T00062,T00062,V0063,2024-10-17,51994749.56
A-T00063,T00063,V0263,2024-11-13,2193711.33
A-T00064,T00064,V0044,2025-06-10,36686013.53
A-T00065,T00065,V0077,2024-05-14,2728860.53
A-T00066,T00066,V0004,2025-05-02,4165600.45
A-T00067,T00067,V0062,2026-09-21,18060068.13
A-T00068,T00068,V0129,2024-03-12,85642813.32
A-T00069,T00069,V0495,2025-09-29,4745647.56
A-T00070,T00070,V0011,2025-02-04,3560838.82
A-T00071,T00071,V0340,2024-08-06,31062823.94
A-T00072,T00072,V0247,2026-01-30,6774641.1
A-T00073,T00073,V0042,2025-10-25,60278982.27
A-T00074,T00074,V0062,2026-09-02,26665336.22
A-T00075,T00075,V0422,2025-02-07,14141742.76
A-T00076,T00076,V0434,2024-05-31,25035470.54
A-T00077,T00077,V0215,2025-07-03,26159165.53
A-T00078,T00078,V0027,2025-09-17,6787478.62
A-T00079,T00079,V0022,2025-06-09,7304491.99
A-T00080,T00080,V0251,2026-02-10,8356631.7
A-T00081,T00081,V0427,2026-09-17,42172530.16
A-T00082,T00082,V0153,2025-08-12,22653893.95
A-T00083,T00083,V0042,2025-03-05,25858942.34
A-T00084,T00084,V0452,2025-08-14,4555503.68
A-T00085,T00085,V0313,2026-01-18,32406388.0
A-T00086,T00086,V0005,2024-08-01,7956852.85
A-T00087,T00087,V0245,2025-11-21,10078866.23
A-T00088,T00088,V0096,2024-11-03,5700779.52
