vendor_a,vendor_b,shared_tenders,expected_conditional_shared,conditional_enrichment,weighted_market_overlap,market_count,market_concentration,shrunk_win_uplift,persistence,enrichment_signal,win_effect_signal,specialization_discount,breadth_signal,relationship_strength,context_adjusted_strength
V0042,V0043,18,4.2673,4.2182,0.5466,4,0.3333,0.2431,1.0,0.6890011142619906,0.4051666666666667,0.816685,1.0,0.7127003899916967,0.5820517180003688
V0071,V0074,10,1.2476,8.0153,0.4696,3,0.4,-0.0638,1.0,0.9170221731183585,0.0,0.78,0.75,0.6334577605914256,0.4940970532613119
V0072,V0073,13,2.996,4.3391,0.4103,4,0.3077,-0.2234,1.0,0.6985530679524224,0.0,0.830765,1.0,0.5944935737833479,0.493884453824123
V0071,V0073,11,1.6698,6.5875,0.4343,3,0.3636,-0.0801,1.0,0.8451170405038857,0.0,0.80002,0.75,0.60829096417636,0.4866449371603715
V0072,V0074,11,1.7619,6.2432,0.414,3,0.3636,-0.2234,1.0,0.8257504488045473,0.0,0.80002,0.75,0.6015126570815915,0.48122215591841483
V0073,V0074,10,1.4952,6.6879,0.4311,3,0.4,-0.0894,1.0,0.8505991431056225,0.0,0.78,0.75,0.6102097000869678,0.4759635660678349
V0001,V0024,25,4.614,5.4183,0.65,3,0.4,-0.2506,1.0,0.7753271405216036,0.0,0.78,0.75,0.5838644991825612,0.4554143093623978
V0071,V0072,10,1.9206,5.2066,0.3358,3,0.4,-0.0981,1.0,0.7613398561205941,0.0,0.78,0.75,0.5789689496422079,0.45159578072092216
V0001,V0091,25,5.1144,4.8882,0.5977,3,0.4,-0.1332,1.0,0.7393777236033948,0.0,0.78,0.75,0.5712822032611882,0.4456001185437268
V0024,V0091,25,5.4978,4.5472,0.5598,3,0.4,-0.2202,1.0,0.7144988004205828,0.0,0.78,0.75,0.562574580147204,0.43880817251481913
V0052,V0053,22,4.3543,5.0524,0.5844,4,0.4545,-0.1721,0.7667,0.7508480074253316,0.0,0.7500249999999999,1.0,0.5661368025988661,0.4246167553692145
V0051,V0052,23,4.2656,5.3919,0.6415,4,0.4783,-0.1523,0.7667,0.7736082492130939,0.0,0.7369349999999999,1.0,0.5741028872245829,0.42307651119684797
V0020,V0277,24,22.6199,1.061,0.4188,4,0.375,0.14,1.0,0.3015941980920416,0.23333333333333336,0.79375,1.0,0.5255579693322145,0.4171616381574453
V0020,V0481,26,22.8342,1.1386,0.4729,5,0.4231,0.1364,1.0,0.3170077600817462,0.22733333333333333,0.7672950000000001,1.0,0.5291527160286111,0.4060162332451732
V0020,V0050,16,12.6579,1.264,0.3463,3,0.4375,0.188,1.0,0.3407709959690329,0.31333333333333335,0.7593749999999999,0.75,0.5257698485891615,0.3992564787723945
V0020,V0407,17,13.9877,1.2154,0.3824,4,0.3529,0.0408,1.0,0.33172131540691363,0.068,0.805905,1.0,0.48650246039241973,0.39207476534255303
V0223,V0355,15,11.1684,1.3431,0.3947,4,0.3333,-0.0285,1.0,0.35509258832041035,0.0,0.816685,1.0,0.47428240591214366,0.38733932667235904
V0307,V0355,11,9.3833,1.1723,0.4562,3,0.3636,0.1087,1.0,0.3235281052017739,0.18116666666666667,0.80002,0.75,0.48008483682062086,0.3840774711532331
V0295,V0355,13,11.0825,1.173,0.3335,3,0.3846,0.1105,1.0,0.3236624676975843,0.18416666666666667,0.78847,0.75,0.48103186369415446,0.37927919356692996
V0051,V0053,23,4.9004,4.6935,0.5545,4,0.4348,-0.1523,0.433,0.7253549364725635,0.0,0.76086,1.0,0.4904742277653973,0.3731822209375802
V0010,V0307,11,10.3281,1.0651,0.351,3,0.3636,0.0952,1.0,0.3024229871992355,0.15866666666666668,0.80002,0.75,0.4659480455197324,0.3727677553766963
V0010,V0020,41,31.1807,1.3149,0.6493,6,0.3902,-0.0079,1.0,0.35004301463148274,0.0,0.78539,1.0,0.472515055121019,0.37110859914149713
V0010,V0355,20,20.2939,0.9855,0.3998,4,0.4,0.0443,1.0,0.2860303280838242,0.07383333333333333,0.78,1.0,0.47226061482933845,0.368363279566884
V0020,V0355,21,21.0509,0.9976,0.4466,4,0.3333,-0.0884,1.0,0.28856408694442987,0.0,0.816685,1.0,0.4509974304305504,0.36832283647117403
V0219,V0379,9,4.9919,1.8029,0.2127,3,0.3333,-0.0609,0.9,0.4298163506874498,0.0,0.816685,0.75,0.4429357227406074,0.36173896072641293
V0016,V0122,6,1.3258,4.5256,0.2738,2,0.5,-0.0386,0.8667,0.7128717664127786,0.0,0.725,0.5,0.49784511824447253,0.36093771072724257
V0355,V0481,16,15.4816,1.0335,0.3558,3,0.4375,0.1035,1.0,0.2959922622212129,0.1725,0.7593749999999999,0.75,0.4678472917774245,0.3552715371934817
V0052,V0391,6,1.2716,4.7185,0.4904,2,0.5,0.0,0.7667,0.7271821054987982,0.0,0.725,0.5,0.4828537369245794,0.35006895927032006
V0020,V0119,16,18.5877,0.8608,0.3,3,0.375,0.0704,1.0,0.258979826945295,0.11733333333333335,0.79375,0.75,0.43834293943085323,0.34793470817323974
V0050,V0277,13,9.3842,1.3853,0.3268,3,0.3846,-0.0398,1.0,0.36253664305317995,0.0,0.78847,0.75,0.439387825068613,0.3464441184318493
V0277,V0355,14,13.9316,1.0049,0.3262,3,0.5,0.1129,1.0,0.29008530609897354,0.18816666666666668,0.725,0.75,0.47047985713464074,0.3410978964226145
V0041,V0307,10,7.5667,1.3216,0.53,3,0.4,-0.0937,1.0,0.3512482854035837,0.0,0.78,0.75,0.4354368998912543,0.3396407819151783
V0355,V0407,11,9.4658,1.1621,0.419,3,0.4545,0.0594,0.9667,0.3215653245425139,0.099,0.7500249999999999,0.75,0.4480878635898799,0.33607709988899964
V0144,V0481,12,11.0605,1.0849,0.253,3,0.4167,0.0325,1.0,0.30640241081606784,0.05416666666666667,0.770815,0.75,0.43599084378562375,0.3360682822526156
V0050,V0184,10,8.037,1.2442,0.2143,3,0.4,-0.0605,1.0,0.3371077625526474,0.0,0.78,0.75,0.4304877168934266,0.33578041917687274
V0007,V0278,6,1.5294,3.9231,0.4167,2,0.5,0.0,0.7667,0.6647239483178116,0.0,0.725,0.5,0.46099338191123407,0.33422020188564466
V0020,V0307,13,11.8246,1.0994,0.4599,3,0.3846,-0.1193,1.0,0.30929273602263896,0.0,0.78847,0.75,0.4207524576079236,0.33175069025011955
V0041,V0355,10,8.7667,1.1407,0.5162,3,0.4,-0.0496,1.0,0.31741706445035406,0.0,0.78,0.75,0.4235959725576239,0.3304048585949466
V0010,V0277,20,19.0053,1.0523,0.3889,3,0.4,-0.1319,1.0,0.29983007331837697,0.0,0.78,0.75,0.4174405256614319,0.3256036100159169
V0026,V0355,10,8.9325,1.1195,0.2442,3,0.4,-0.0725,0.9667,0.3132664801219275,0.0,0.78,0.75,0.4154832680426746,0.3240769490732862
V0010,V0050,14,12.8833,1.0867,0.3614,3,0.4286,-0.0615,1.0,0.3067623007149797,0.0,0.76427,0.75,0.4198668052502429,0.32089160324860316
V0244,V0301,6,2.0266,2.9607,0.2654,2,0.5,-0.0584,0.8333,0.5740120483724435,0.0,0.725,0.5,0.44256421693035525,0.32085905727450753
V0010,V0119,17,18.336,0.9271,0.3408,3,0.4118,0.0124,1.0,0.2735800389881746,0.020666666666666667,0.7735099999999999,0.75,0.4144530136458611,0.32058355058521
V0020,V0026,15,12.2544,1.2241,0.3246,3,0.4667,-0.0989,1.0,0.3333558176931589,0.0,0.743315,0.75,0.4291745361926056,0.3190118703700066
V0277,V0295,13,11.1079,1.1703,0.3098,3,0.4615,-0.1353,1.0,0.3231439736484098,0.0,0.746175,0.75,0.4256003907769434,0.31757237158798574
V0144,V0307,11,8.9833,1.2245,0.3643,3,0.4545,-0.0904,0.9667,0.33343081340282904,0.0,0.7500249999999999,0.75,0.42254078469099016,0.3169161520378599
V0010,V0407,13,11.236,1.157,0.34,3,0.4615,-0.0563,1.0,0.3205804590914917,0.0,0.746175,0.75,0.4247031606820221,0.3169028809219078
V0119,V0481,14,14.0079,0.9994,0.2994,3,0.4286,-0.1422,1.0,0.2889396978302488,0.0,0.76427,0.75,0.4136288942405871,0.31612415500125346
