tender_id,category,region,procurement_method,bid_count,median_bid_ratio,mad,relative_spread,coefficient_of_variation,minimum_bid_ratio,maximum_bid_ratio,peer_median,peer_mad,peer_count,robust_z,tightness_percentile,price_evidence,tightness_score
T02098,ROAD_CONSTRUCTION,AP-SOUTH,OPEN,5,0.97764,0.00439,0.04408,0.01563,0.97163,1.01473,0.12472,0.013115000000000002,14,4.1472310212880386,0.07142857142857142,3.374927674173288,22.686025408348456
T02329,ELECTRICAL_EQUIPMENT,AP-SOUTH,LIMITED,4,0.99646,0.00779,0.05353,0.0205,0.95553,1.00887,0.104085,0.011635,4,2.930715972955674,0.25,2.3855369797167554,18.681113394358302
T00009,ROAD_CONSTRUCTION,AP-SOUTH,OPEN,10,0.9922,0.01072,0.07794,0.02341,0.96381,1.04114,0.12472,0.013115000000000002,14,2.4058465671608937,0.14285714285714285,2.293833339016233,12.830382345393893
T01248,ELECTRICAL_EQUIPMENT,KA-SOUTH,LIMITED,3,1.02394,0.01108,0.02485,0.01018,1.00958,1.03503,0.0958,0.014440000000000008,11,3.3140664393950416,0.09090909090909091,2.269983686869422,40.241448692152915
T01129,LAB_EQUIPMENT,KA-SOUTH,OPEN,3,1.01126,0.01184,0.02512,0.01027,0.9977,1.0231,0.09267500000000001,0.01473999999999999,18,3.0912634502334755,0.05555555555555555,2.0978793371926874,39.80891719745223
T01812,MEDICAL_SUPPLIES,TN-NORTH,OPEN,4,0.9787,0.01478,0.05872,0.02083,0.95146,1.00894,0.096995,0.010250000000000002,4,2.518647201850407,0.25,2.0764854013878056,17.029972752043598
T00564,MEDICAL_SUPPLIES,KA-BENGALURU,LIMITED,3,0.98553,0.00521,0.01517,0.00628,0.98031,0.99526,0.09338,0.018310000000000007,5,2.881044363662725,0.2,2.0540295757751506,65.91957811470007
T01662,ELECTRICAL_EQUIPMENT,TN-NORTH,OPEN,3,1.00417,0.00153,0.00846,0.00369,0.9972,1.0057,0.12121,0.025709999999999997,9,2.95794761302941,0.1111111111111111,2.0460391494270143,118.20330969267138
T02195,VEHICLE_SUPPLIES,KA-NORTH,OPEN,5,0.98231,0.01578,0.04946,0.01898,0.9495,0.99808,0.12007000000000001,0.019319999999999997,26,2.4651031328489856,0.07692307692307693,2.0336209678176504,20.218358269308535
T01080,ROAD_CONSTRUCTION,KA-CENTRAL,TWO_STAGE,3,1.01245,0.00374,0.03667,0.01665,0.97906,1.01619,0.08646999999999999,0.011260000000000006,16,2.9830941227295216,0.0625,2.0303960818196813,27.270248159258248
T01043,WATER_INFRASTRUCTURE,KA-NORTH,OPEN,6,0.99674,0.02222,0.0486,0.0204,0.97182,1.02027,0.10822999999999999,0.01692000000000001,42,2.3770617013941693,0.023809523809523808,2.0007260210030777,20.5761316872428
T01232,IT_SERVICES,KA-NORTH,LIMITED,4,1.01785,0.0102,0.02434,0.01093,1.00709,1.03186,0.083355,0.016184999999999998,6,2.459380424498688,0.16666666666666666,1.969535318374016,41.084634346754314
T02425,MEDICAL_SUPPLIES,KA-CENTRAL,LIMITED,4,0.98652,0.00922,0.03592,0.01298,0.97143,1.00687,0.11796999999999999,0.02194999999999999,14,2.521274114581077,0.07142857142857142,1.9445270145072366,27.839643652561247
T01104,ELECTRICAL_EQUIPMENT,TN-NORTH,OPEN,3,1.01428,0.01084,0.0217,0.00886,1.00311,1.02513,0.12121,0.025709999999999997,9,2.6106019243685727,0.2222222222222222,1.8885494310605302,46.08294930875576
T01835,IT_SERVICES,KA-BENGALURU,OPEN,3,1.04055,0.00556,0.01231,0.00504,1.03499,1.0478,0.08701500000000001,0.018524999999999993,14,2.7199909412523113,0.07142857142857142,1.8609463417872556,81.23476848090984
T00986,WATER_INFRASTRUCTURE,KA-NORTH,LIMITED,3,1.01144,0.0164,0.03842,0.01572,0.99504,1.03389,0.10906,0.017939999999999998,8,2.65585436172947,0.125,1.853902907819647,26.02811035918792
T02084,WATER_INFRASTRUCTURE,AP-SOUTH,OPEN,7,1.00544,0.02511,0.05572,0.02144,0.98018,1.0362,0.11100499999999999,0.018865,12,1.9766351252405812,0.16666666666666666,1.837115821634784,17.946877243359655
T01554,FURNITURE,KA-NORTH,OPEN,3,1.01226,0.00139,0.01815,0.00821,1.01087,1.02924,0.1018,0.020879999999999996,33,2.7021624535544637,0.030303030303030304,1.8216436559049962,55.09641873278237
T01155,VEHICLE_SUPPLIES,KA-NORTH,OPEN,3,0.95518,0.00733,0.04306,0.01858,0.94786,0.98898,0.12007000000000001,0.019319999999999997,26,2.688536924808106,0.038461538461538464,1.8179989755130965,23.22340919647004
T02187,WATER_INFRASTRUCTURE,AP-SOUTH,OPEN,5,1.01491,0.0086,0.05107,0.02206,0.97168,1.02351,0.11100499999999999,0.018865,12,2.14288914228623,0.08333333333333333,1.780977980495651,19.58096729978461
T01257,IT_SERVICES,KA-NORTH,TWO_STAGE,5,1.01434,0.02664,0.06438,0.02581,0.97568,1.04098,0.11099,0.01569000000000001,9,2.0036975334100755,0.2222222222222222,1.7807358045058383,15.532774153463807
T01162,FURNITURE,KA-NORTH,OPEN,3,0.99227,0.00657,0.02206,0.00922,0.9857,1.00759,0.1018,0.020879999999999996,33,2.5758569521390666,0.06060606060606061,1.7576420084967517,45.33091568449683
T01222,LAB_EQUIPMENT,KA-SOUTH,OPEN,3,1.0104,0.01754,0.03844,0.0157,0.99286,1.0317,0.09267500000000001,0.01473999999999999,18,2.481750769349605,0.1111111111111111,1.728574586973811,26.014568158168572
T00818,MEDICAL_SUPPLIES,KA-CENTRAL,LIMITED,3,0.99832,0.01876,0.03839,0.01567,0.97955,1.01788,0.11796999999999999,0.02194999999999999,14,2.4453746988222074,0.14285714285714285,1.7254878944529004,26.048450117218025
T00130,ROAD_CONSTRUCTION,AP-SOUTH,OPEN,4,0.98493,0.01969,0.0844,0.03406,0.96431,1.04744,0.12472,0.013115000000000002,14,2.0736155106440193,0.21428571428571427,1.7159259186973004,11.848341232227488
T00414,FURNITURE,KA-BENGALURU,OPEN,9,1.01724,0.00908,0.06262,0.01722,0.9757,1.0394,0.11214,0.017980000000000003,16,1.8576630928409898,0.0625,1.7068116380808798,15.969338869370809
T01028,MEDICAL_SUPPLIES,KA-SOUTH,OPEN,3,1.01884,0.00223,0.021,0.00937,1.01661,1.038,0.09937,0.020879999999999996,45,2.5316015718477383,0.022222222222222223,1.7025491960466406,47.61904761904761
T01528,VEHICLE_SUPPLIES,KA-SOUTH,OPEN,4,1.01646,0.00495,0.01531,0.0063,1.01093,1.02649,0.11184,0.029350000000000015,21,2.218350698885032,0.047619047619047616,1.6994773098780596,65.31678641410842
T00569,WATER_INFRASTRUCTURE,KA-CENTRAL,TWO_STAGE,5,0.98555,0.01374,0.04371,0.0154,0.95622,0.9993,0.08471,0.014060000000000003,7,1.9668649458421334,0.14285714285714285,1.6877776709594212,22.878059940517044
