vendor_a,vendor_b,observed_shared_tenders,vendor_a_tenders,vendor_b_tenders,expected_shared_tenders,enrichment_ratio,p_value,surprise_score,dominant_category,category_share,dominant_region,region_share,context_concentration,contextual_adjustment,contextual_enrichment
V0193,V0445,3,8,16,0.051,58.594,1.1823120026805183e-05,4.927,ROAD_CONSTRUCTION,1.0,KA-SOUTH,0.609,0.843,0.62,36.354
V0165,V0168,4,14,12,0.067,59.524,2.9742113991511685e-07,6.527,MEDICAL_SUPPLIES,1.0,KA-CENTRAL,0.852,0.941,0.577,34.326
V0425,V0441,4,12,17,0.082,49.02,7.01715949371608e-07,6.154,VEHICLE_SUPPLIES,1.0,KA-NORTH,0.529,0.812,0.635,31.113
V0534,V0545,3,9,17,0.061,49.02,2.1412098661585897e-05,4.669,IT_SERVICES,1.0,KA-NORTH,0.615,0.846,0.619,30.355
V0171,V0545,3,9,17,0.061,49.02,2.1412098661585897e-05,4.669,IT_SERVICES,1.0,KA-CENTRAL,0.679,0.871,0.608,29.797
V0032,V0222,3,14,11,0.062,48.701,2.2487219138537476e-05,4.648,VEHICLE_SUPPLIES,1.0,KA-SOUTH,0.667,0.867,0.61,29.708
V0089,V0163,4,16,13,0.083,48.077,7.74103033906084e-07,6.111,ROAD_CONSTRUCTION,1.0,KA-CENTRAL,0.692,0.877,0.605,29.105
V0221,V0222,3,15,11,0.066,45.455,2.804136306639056e-05,4.552,VEHICLE_SUPPLIES,1.0,KA-BENGALURU,0.5,0.8,0.64,29.091
V0146,V0171,3,19,9,0.068,43.86,3.0402045670444326e-05,4.517,IT_SERVICES,1.0,KA-BENGALURU,0.474,0.789,0.645,28.278
V0115,V0441,5,16,17,0.109,45.956,3.190396742384591e-08,7.496,VEHICLE_SUPPLIES,1.0,KA-NORTH,0.659,0.863,0.611,28.1
V0236,V0492,3,12,14,0.067,44.643,2.9883818471411595e-05,4.525,VEHICLE_SUPPLIES,1.0,KA-NORTH,0.625,0.85,0.617,27.567
V0143,V0418,4,13,18,0.094,42.735,1.2939960625091548e-06,5.888,WATER_INFRASTRUCTURE,1.0,KA-NORTH,0.483,0.793,0.643,27.483
V0160,V0222,3,16,11,0.07,42.614,3.442935927872244e-05,4.463,VEHICLE_SUPPLIES,1.0,KA-BENGALURU,0.562,0.825,0.629,26.794
V0110,V0324,3,14,13,0.073,41.209,3.8720495262824385e-05,4.412,ROAD_CONSTRUCTION,1.0,KA-BENGALURU,0.526,0.811,0.635,26.179
V0140,V0315,4,14,17,0.095,42.017,1.4072091488880331e-06,5.852,IT_SERVICES,1.0,KA-BENGALURU,0.679,0.871,0.608,25.54
V0112,V0441,4,15,17,0.102,39.216,1.9109134047374816e-06,5.719,VEHICLE_SUPPLIES,1.0,KA-SOUTH,0.462,0.785,0.647,25.37
V0205,V0435,3,14,13,0.073,41.209,3.8720495262824385e-05,4.412,ROAD_CONSTRUCTION,1.0,KA-SOUTH,0.64,0.856,0.615,25.335
V0160,V0282,4,16,16,0.102,39.062,1.9477567270377485e-06,5.71,VEHICLE_SUPPLIES,1.0,KA-SOUTH,0.476,0.79,0.644,25.167
V0015,V0203,3,12,15,0.072,41.667,3.725364009149576e-05,4.429,FURNITURE,1.0,KA-SOUTH,0.706,0.882,0.603,25.123
V0090,V0264,6,21,18,0.151,39.683,2.8087385811996102e-09,8.551,MEDICAL_SUPPLIES,1.0,KA-SOUTH,0.543,0.817,0.632,25.087
