vendor_a,vendor_b,observed_shared_tenders,vendor_a_tenders,vendor_b_tenders,expected_shared_tenders,enrichment_ratio,p_value,surprise_score
V0010,V0020,54,96,85,3.264,16.544,3.5603328505180613e-62,61.449
V0001,V0024,36,62,47,1.166,30.885,7.378721461586263e-54,53.132
V0024,V0091,36,47,74,1.391,25.877,5.672353171499064e-50,49.246
V0001,V0091,37,62,74,1.835,20.161,6.04056117329242e-45,44.219
V0052,V0053,28,46,44,0.81,34.585,2.6821797681143906e-42,41.572
V0051,V0053,28,51,44,0.898,31.194,1.8142266177102819e-40,39.741
V0051,V0052,28,51,46,0.938,29.838,1.2051820397637867e-39,38.919
V0042,V0043,26,49,51,1.0,26.01,2.388462533406612e-34,33.622
V0020,V0481,30,85,64,2.176,13.787,2.3427002992551757e-29,28.63
V0073,V0074,18,44,28,0.493,36.526,5.719437607362663e-27,26.243
V0072,V0074,19,58,28,0.65,29.249,2.0459581235480234e-26,25.689
V0071,V0074,18,47,28,0.526,34.195,2.508814403059401e-26,25.601
V0071,V0072,22,47,58,1.09,20.176,1.273086166225711e-25,24.895
V0025,V0144,25,61,68,1.659,15.068,2.4907398644122487e-25,24.604
V0071,V0073,20,47,44,0.827,24.178,3.860585871772661e-25,24.413
V0020,V0144,27,85,68,2.312,11.678,6.5792405003185115e-24,23.182
V0020,V0355,27,85,69,2.346,11.509,1.0560651561324713e-23,22.976
V0020,V0025,25,85,61,2.074,12.054,1.6093845182472965e-22,21.793
V0010,V0355,27,96,69,2.65,10.19,4.239870600975773e-22,21.373
V0113,V0184,20,46,63,1.159,17.253,1.4137345497507943e-21,20.85
V0119,V0355,23,64,69,1.766,13.021,1.6929011172413182e-21,20.771
V0072,V0073,19,58,44,1.021,18.613,3.2758060106881332e-21,20.485
V0010,V0144,26,96,68,2.611,9.957,5.777788731118898e-21,20.238
V0020,V0295,23,85,55,1.87,12.299,5.958368496200222e-21,20.225
V0020,V0277,25,85,71,2.414,10.356,1.4350058271602243e-20,19.843
V0025,V0223,19,61,45,1.098,17.304,1.6981629842076254e-20,19.77
V0020,V0407,20,85,40,1.36,14.706,3.364381759227079e-20,19.473
V0355,V0481,22,69,64,1.766,12.455,4.729013962692668e-20,19.325
V0010,V0025,24,96,61,2.342,10.246,1.0547842343872821e-19,18.977
V0010,V0119,24,96,64,2.458,9.766,4.081221553306783e-19,18.389
V0010,V0481,24,96,64,2.458,9.766,4.081221553306783e-19,18.389
V0025,V0041,17,61,39,0.952,17.865,1.2176810362920381e-18,17.914
V0184,V0277,21,63,71,1.789,11.737,1.6236705623273214e-18,17.79
V0277,V0295,20,71,55,1.562,12.804,1.6376469818798502e-18,17.786
V0020,V0050,21,85,55,1.87,11.23,3.809779391788322e-18,17.419
V0020,V0119,22,85,64,2.176,10.11,7.778033013502172e-18,17.109
V0020,V0307,20,85,50,1.7,11.765,8.915106437392768e-18,17.05
V0025,V0355,20,61,69,1.684,11.879,9.502797682816579e-18,17.022
V0020,V0041,18,85,39,1.326,13.575,2.0392232725343487e-17,16.691
V0025,V0050,18,61,55,1.342,13.413,4.776685097044285e-17,16.321
V0010,V0295,21,96,55,2.112,9.943,5.911791305880478e-17,16.228
V0184,V0481,19,63,64,1.613,11.781,8.860770214390516e-17,16.053
V0050,V0184,18,55,63,1.386,12.987,9.154867153829238e-17,16.038
V0020,V0184,21,85,63,2.142,9.804,1.0212894089161188e-16,15.991
V0144,V0355,20,68,69,1.877,10.656,1.0931814495353756e-16,15.961
V0010,V0277,23,96,71,2.726,8.436,1.1448019521665099e-16,15.941
V0223,V0295,16,45,55,0.99,16.162,1.175523701306751e-16,15.93
V0010,V0223,19,96,45,1.728,10.995,2.2450522369148713e-16,15.649
V0223,V0355,17,45,69,1.242,13.688,2.420887948782288e-16,15.616
V0020,V0026,18,85,44,1.496,12.032,2.954909708025327e-16,15.529
V0010,V0407,18,96,40,1.536,11.719,3.723299984876989e-16,15.429
V0025,V0277,19,61,71,1.732,10.967,3.937994183027996e-16,15.405
V0041,V0355,16,39,69,1.076,14.864,4.2596846962921287e-16,15.371
V0020,V0223,18,85,45,1.53,11.765,4.797892169339048e-16,15.319
V0295,V0355,18,55,69,1.518,11.858,5.587427189333326e-16,15.253
V0025,V0119,18,61,64,1.562,11.527,1.0266914173298522e-15,14.989
V0277,V0481,19,71,64,1.818,10.453,1.0875994864603303e-15,14.964
V0307,V0355,17,50,69,1.38,12.319,1.953859767121175e-15,14.709
V0010,V0307,19,96,50,1.92,9.896,2.407324552398195e-15,14.618
V0119,V0481,18,64,64,1.638,10.986,2.6699716168110266e-15,14.573
V0010,V0026,18,96,44,1.69,10.653,2.993329954446521e-15,14.524
V0295,V0481,17,55,64,1.408,12.074,3.0481047543687357e-15,14.516
V0144,V0223,16,68,45,1.224,13.072,5.0187032206064545e-15,14.299
V0010,V0113,18,96,46,1.766,10.19,7.711556598974823e-15,14.113
V0119,V0144,18,64,68,1.741,10.34,8.78568967551467e-15,14.056
V0020,V0113,17,85,46,1.564,10.87,1.6810022664464936e-14,13.774
V0010,V0050,19,96,55,2.112,8.996,1.9097417389556255e-14,13.719
V0010,V0184,20,96,63,2.419,8.267,2.335253265378575e-14,13.632
V0025,V0295,16,61,55,1.342,11.923,2.8970123257606175e-14,13.538
V0026,V0481,15,44,64,1.126,13.317,3.119157778758986e-14,13.506
V0223,V0481,15,45,64,1.152,13.021,4.591482962647212e-14,13.338
V0304,V0438,13,44,44,0.774,16.787,8.086176778432243e-14,13.092
V0277,V0355,18,71,69,1.96,9.186,8.757657409356702e-14,13.058
V0050,V0295,15,55,55,1.21,12.397,1.1244575522346499e-13,12.949
V0010,V0041,16,96,39,1.498,10.684,1.1576558108876245e-13,12.936
V0119,V0407,14,64,40,1.024,13.672,1.643888024402867e-13,12.784
V0144,V0295,16,68,55,1.496,10.695,1.888367378015315e-13,12.724
V0041,V0144,14,39,68,1.061,13.198,2.6990120167449106e-13,12.569
V0307,V0481,15,50,64,1.28,11.719,2.7272693714803636e-13,12.564
V0113,V0277,15,46,71,1.306,11.482,3.5258393353965335e-13,12.453
V0050,V0277,16,55,71,1.562,10.243,3.9311645675034695e-13,12.405
V0144,V0407,14,68,40,1.088,12.868,4.0675489080773705e-13,12.391
V0355,V0407,14,69,40,1.104,12.681,5.052207927379373e-13,12.297
V0184,V0295,15,63,55,1.386,10.823,1.020154465979874e-12,11.991
V0119,V0295,15,64,55,1.408,10.653,1.312030781638873e-12,11.882
V0050,V0481,15,55,64,1.408,10.653,1.312030781638873e-12,11.882
V0113,V0481,14,46,64,1.178,11.889,1.5151376572030502e-12,11.82
V0026,V0144,14,44,68,1.197,11.698,1.855180125105123e-12,11.732
V0041,V0307,12,39,50,0.78,15.385,2.6662578268031075e-12,11.574
V0041,V0119,13,39,64,0.998,13.021,2.7859381307934186e-12,11.555
V0026,V0223,12,44,45,0.792,15.152,3.3683631322700603e-12,11.473
V0026,V0277,14,44,71,1.25,11.204,3.5005771845122988e-12,11.456
V0223,V0277,14,45,71,1.278,10.955,4.971838104228504e-12,11.303
