department_id,department_name,organization_id,region
D01,State Works Division - North,O01,KA-NORTH
D02,Urban Infrastructure Division - South,O02,KA-SOUTH
D03,State Health Procurement Division,O03,KA-CENTRAL
D04,State Education Procurement Division,O01,KA-NORTH
D05,Rural Development Division,O01,KA-NORTH
D06,Water Resources Division,O02,KA-SOUTH
D07,Power Systems Division,O01,KA-NORTH
D08,Municipal Services Division,O03,KA-CENTRAL
D09,State Transport Division,O02,KA-SOUTH
D10,Medical Services Procurement Division,O03,KA-CENTRAL
D11,Urban Technology Division,O04,KA-BENGALURU
D12,Housing Infrastructure Division,O02,KA-SOUTH
D13,Tourism Infrastructure Division,O03,KA-CENTRAL
D14,Agricultural Infrastructure Division,O01,KA-NORTH
D15,Energy Procurement Division,O02,KA-SOUTH
D16,Infrastructure Development Division,O03,KA-CENTRAL
D17,Higher Education Procurement Division,O04,KA-BENGALURU
D18,Industrial Development Division,O03,KA-CENTRAL
D19,Forest Infrastructure Division,O05,TN-NORTH
D20,Public Health Engineering Division,O06,AP-SOUTH
