source,target,edge_type,weight,observations,behavioral_strength,economic_strength,metadata
vendor:V0022,vendor:V0264,CO_BID,0.1729696904450771,1,,0.2008906136542901,shared_tenders=1
vendor:V0088,vendor:V0342,CO_BID,0.4016231838083946,4,,0.2807105554214358,shared_tenders=4
vendor:V0088,vendor:V0346,CO_BID,0.33510886537295526,7,0.1847268786765476,0.2807105554214358,shared_tenders=7;conditional_enrichment=3.111;market_concentration=1.000;persistence=0.833;behavioral_strength=0.185
vendor:V0088,vendor:V0483,CO_BID,0.48558731183776727,6,,0.2807105554214358,shared_tenders=6
vendor:V0342,vendor:V0346,CO_BID,0.4016231838083946,4,,0.3061993316019484,shared_tenders=4
vendor:V0342,vendor:V0483,CO_BID,0.4016231838083946,4,,0.3061993316019484,shared_tenders=4
vendor:V0346,vendor:V0483,CO_BID,0.27415047311679364,2,,0.2807105554214358,shared_tenders=2
vendor:V0019,vendor:V0114,CO_BID,0.3459393808901542,3,,0.2282051718444979,shared_tenders=3
vendor:V0019,vendor:V0153,CO_BID,0.3459393808901542,3,,0.2282051718444979,shared_tenders=3
vendor:V0019,vendor:V0185,CO_BID,0.1729696904450771,1,,0.2282051718444979,shared_tenders=1
vendor:V0019,vendor:V0401,CO_BID,0.1729696904450771,1,,0.2282051718444979,shared_tenders=1
vendor:V0019,vendor:V0547,CO_BID,0.3459393808901542,3,,0.2282051718444979,shared_tenders=3
vendor:V0114,vendor:V0153,CO_BID,0.4016231838083946,4,,0.1973066513058317,shared_tenders=4
vendor:V0114,vendor:V0185,CO_BID,0.1729696904450771,1,,0.1973066513058317,shared_tenders=1
vendor:V0114,vendor:V0401,CO_BID,0.3459393808901542,3,,0.1973066513058317,shared_tenders=3
vendor:V0114,vendor:V0547,CO_BID,0.5189090713352312,7,,0.1973066513058317,shared_tenders=7
vendor:V0153,vendor:V0185,CO_BID,0.1729696904450771,1,,0.2185612544192689,shared_tenders=1
vendor:V0153,vendor:V0401,CO_BID,0.1729696904450771,1,,0.2185612544192689,shared_tenders=1
vendor:V0153,vendor:V0547,CO_BID,0.1729696904450771,1,,0.2185612544192689,shared_tenders=1
vendor:V0185,vendor:V0401,CO_BID,0.27415047311679364,2,,0.2969173233375408,shared_tenders=2
vendor:V0185,vendor:V0547,CO_BID,0.3459393808901542,3,,0.2969173233375408,shared_tenders=3
vendor:V0401,vendor:V0547,CO_BID,0.3459393808901542,3,,0.168402446457358,shared_tenders=3
vendor:V0032,vendor:V0115,CO_BID,0.1729696904450771,1,,0.1801818472486291,shared_tenders=1
vendor:V0032,vendor:V0161,CO_BID,0.1729696904450771,1,,0.1801818472486291,shared_tenders=1
vendor:V0032,vendor:V0222,CO_BID,0.3459393808901542,3,,0.1801818472486291,shared_tenders=3
vendor:V0032,vendor:V0294,CO_BID,0.27415047311679364,2,,0.1801818472486291,shared_tenders=2
vendor:V0032,vendor:V0425,CO_BID,0.27415047311679364,2,,0.1801818472486291,shared_tenders=2
vendor:V0032,vendor:V0441,CO_BID,0.1729696904450771,1,,0.1801818472486291,shared_tenders=1
vendor:V0115,vendor:V0161,CO_BID,0.27415047311679364,2,,0.1627704252312831,shared_tenders=2
vendor:V0115,vendor:V0222,CO_BID,0.1729696904450771,1,,0.1627704252312831,shared_tenders=1
vendor:V0115,vendor:V0294,CO_BID,0.27415047311679364,2,,0.1627704252312831,shared_tenders=2
vendor:V0115,vendor:V0425,CO_BID,0.3459393808901542,3,,0.1627704252312831,shared_tenders=3
vendor:V0115,vendor:V0441,CO_BID,0.290277348703461,5,0.161951409273853,0.1627704252312831,shared_tenders=5;conditional_enrichment=2.333;market_concentration=1.000;persistence=0.733;behavioral_strength=0.162
vendor:V0161,vendor:V0222,CO_BID,0.27415047311679364,2,,0.2493221984313735,shared_tenders=2
vendor:V0161,vendor:V0294,CO_BID,0.3459393808901542,3,,0.2493221984313735,shared_tenders=3
vendor:V0161,vendor:V0425,CO_BID,0.27415047311679364,2,,0.2493221984313735,shared_tenders=2
vendor:V0161,vendor:V0441,CO_BID,0.27415047311679364,2,,0.2493221984313735,shared_tenders=2
vendor:V0222,vendor:V0294,CO_BID,0.1729696904450771,1,,0.1501899153628238,shared_tenders=1
vendor:V0222,vendor:V0425,CO_BID,0.1729696904450771,1,,0.1501899153628238,shared_tenders=1
vendor:V0222,vendor:V0441,CO_BID,0.1729696904450771,1,,0.1501899153628238,shared_tenders=1
vendor:V0294,vendor:V0425,CO_BID,0.1729696904450771,1,,0.2366454205766344,shared_tenders=1
vendor:V0294,vendor:V0441,CO_BID,0.1729696904450771,1,,0.2366454205766344,shared_tenders=1
vendor:V0425,vendor:V0441,CO_BID,0.4016231838083946,4,,0.169482004537224,shared_tenders=4
vendor:V0025,vendor:V0026,CO_BID,0.3306342183372342,9,0.1310316816784943,0.2480730206557008,shared_tenders=9;conditional_enrichment=0.815;market_concentration=1.000;persistence=0.833;behavioral_strength=0.131
vendor:V0025,vendor:V0223,CO_BID,0.42011453170955837,19,0.1522025047185662,0.2480730206557008,shared_tenders=19;conditional_enrichment=1.087;market_concentration=1.000;persistence=0.967;behavioral_strength=0.152
vendor:V0025,vendor:V0481,CO_BID,0.3857398507343206,14,0.1484394638508833,0.2480730206557008,shared_tenders=14;conditional_enrichment=1.159;market_concentration=1.000;persistence=0.900;behavioral_strength=0.148
vendor:V0026,vendor:V0223,CO_BID,0.37750178944609886,12,0.1626782341731072,0.2065215327901219,shared_tenders=12;conditional_enrichment=1.562;market_concentration=1.000;persistence=0.933;behavioral_strength=0.163
vendor:V0026,vendor:V0481,CO_BID,0.48246308569482366,15,0.311122987079427,0.2065215327901219,shared_tenders=15;conditional_enrichment=1.224;market_concentration=0.500;persistence=1.000;behavioral_strength=0.311
vendor:V0223,vendor:V0481,CO_BID,0.4686367320688877,15,0.2859841623049979,0.2097576961287937,shared_tenders=15;conditional_enrichment=1.373;market_concentration=0.500;persistence=0.967;behavioral_strength=0.286
vendor:V0230,vendor:V0256,CO_BID,0.3459393808901542,3,,0.2628233782560258,shared_tenders=3
vendor:V0230,vendor:V0363,CO_BID,0.27415047311679364,2,,0.2628233782560258,shared_tenders=2
