vendor_id,evidence_family,evidence_strength,family_weight,context_adjustment,adjusted_strength,explanation
V0193,cooccurrence,1.0,1.0,0.62,0.62,3 shared tenders; 36.35x expected contextual co-occurrence
V0445,cooccurrence,1.0,1.0,0.62,0.62,3 shared tenders; 36.35x expected contextual co-occurrence
V0165,cooccurrence,1.0,1.0,0.577,0.577,4 shared tenders; 34.33x expected contextual co-occurrence
V0168,cooccurrence,1.0,1.0,0.577,0.577,4 shared tenders; 34.33x expected contextual co-occurrence
V0425,cooccurrence,1.0,1.0,0.635,0.635,4 shared tenders; 31.11x expected contextual co-occurrence
V0441,cooccurrence,1.0,1.0,0.635,0.635,4 shared tenders; 31.11x expected contextual co-occurrence
V0534,cooccurrence,1.0,1.0,0.619,0.619,3 shared tenders; 30.36x expected contextual co-occurrence
V0545,cooccurrence,1.0,1.0,0.619,0.619,3 shared tenders; 30.36x expected contextual co-occurrence
V0171,cooccurrence,1.0,1.0,0.608,0.608,3 shared tenders; 29.80x expected contextual co-occurrence
V0545,cooccurrence,1.0,1.0,0.608,0.608,3 shared tenders; 29.80x expected contextual co-occurrence
V0032,cooccurrence,1.0,1.0,0.61,0.61,3 shared tenders; 29.71x expected contextual co-occurrence
V0222,cooccurrence,1.0,1.0,0.61,0.61,3 shared tenders; 29.71x expected contextual co-occurrence
V0089,cooccurrence,1.0,1.0,0.605,0.605,4 shared tenders; 29.11x expected contextual co-occurrence
V0163,cooccurrence,1.0,1.0,0.605,0.605,4 shared tenders; 29.11x expected contextual co-occurrence
V0221,cooccurrence,1.0,1.0,0.64,0.64,3 shared tenders; 29.09x expected contextual co-occurrence
V0222,cooccurrence,1.0,1.0,0.64,0.64,3 shared tenders; 29.09x expected contextual co-occurrence
V0146,cooccurrence,1.0,1.0,0.645,0.645,3 shared tenders; 28.28x expected contextual co-occurrence
V0171,cooccurrence,1.0,1.0,0.645,0.645,3 shared tenders; 28.28x expected contextual co-occurrence
V0115,cooccurrence,1.0,1.0,0.611,0.611,5 shared tenders; 28.10x expected contextual co-occurrence
V0441,cooccurrence,1.0,1.0,0.611,0.611,5 shared tenders; 28.10x expected contextual co-occurrence
V0236,cooccurrence,1.0,1.0,0.617,0.617,3 shared tenders; 27.57x expected contextual co-occurrence
V0492,cooccurrence,1.0,1.0,0.617,0.617,3 shared tenders; 27.57x expected contextual co-occurrence
V0143,cooccurrence,1.0,1.0,0.643,0.643,4 shared tenders; 27.48x expected contextual co-occurrence
V0418,cooccurrence,1.0,1.0,0.643,0.643,4 shared tenders; 27.48x expected contextual co-occurrence
V0160,cooccurrence,1.0,1.0,0.629,0.629,3 shared tenders; 26.79x expected contextual co-occurrence
V0222,cooccurrence,1.0,1.0,0.629,0.629,3 shared tenders; 26.79x expected contextual co-occurrence
V0110,cooccurrence,1.0,1.0,0.635,0.635,3 shared tenders; 26.18x expected contextual co-occurrence
V0324,cooccurrence,1.0,1.0,0.635,0.635,3 shared tenders; 26.18x expected contextual co-occurrence
V0140,cooccurrence,1.0,1.0,0.608,0.608,4 shared tenders; 25.54x expected contextual co-occurrence
V0315,cooccurrence,1.0,1.0,0.608,0.608,4 shared tenders; 25.54x expected contextual co-occurrence
V0112,cooccurrence,1.0,1.0,0.647,0.647,4 shared tenders; 25.37x expected contextual co-occurrence
V0441,cooccurrence,1.0,1.0,0.647,0.647,4 shared tenders; 25.37x expected contextual co-occurrence
V0205,cooccurrence,1.0,1.0,0.615,0.615,3 shared tenders; 25.34x expected contextual co-occurrence
V0435,cooccurrence,1.0,1.0,0.615,0.615,3 shared tenders; 25.34x expected contextual co-occurrence
V0160,cooccurrence,1.0,1.0,0.644,0.644,4 shared tenders; 25.17x expected contextual co-occurrence
V0282,cooccurrence,1.0,1.0,0.644,0.644,4 shared tenders; 25.17x expected contextual co-occurrence
V0015,cooccurrence,1.0,1.0,0.603,0.603,3 shared tenders; 25.12x expected contextual co-occurrence
V0203,cooccurrence,1.0,1.0,0.603,0.603,3 shared tenders; 25.12x expected contextual co-occurrence
V0090,cooccurrence,1.0,1.0,0.632,0.632,6 shared tenders; 25.09x expected contextual co-occurrence
V0264,cooccurrence,1.0,1.0,0.632,0.632,6 shared tenders; 25.09x expected contextual co-occurrence
V0032,cooccurrence,1.0,1.0,0.653,0.653,3 shared tenders; 24.98x expected contextual co-occurrence
V0492,cooccurrence,1.0,1.0,0.653,0.653,3 shared tenders; 24.98x expected contextual co-occurrence
V0073,cooccurrence,1.0,1.0,0.682,0.682,18 shared tenders; 24.91x expected contextual co-occurrence
V0074,cooccurrence,1.0,1.0,0.682,0.682,18 shared tenders; 24.91x expected contextual co-occurrence
V0181,cooccurrence,1.0,1.0,0.65,0.65,3 shared tenders; 24.87x expected contextual co-occurrence
V0479,cooccurrence,1.0,1.0,0.65,0.65,3 shared tenders; 24.87x expected contextual co-occurrence
V0146,cooccurrence,1.0,1.0,0.643,0.643,5 shared tenders; 24.87x expected contextual co-occurrence
V0315,cooccurrence,1.0,1.0,0.643,0.643,5 shared tenders; 24.87x expected contextual co-occurrence
V0056,cooccurrence,1.0,1.0,0.675,0.675,4 shared tenders; 24.83x expected contextual co-occurrence
V0507,cooccurrence,1.0,1.0,0.675,0.675,4 shared tenders; 24.83x expected contextual co-occurrence
V0314,cooccurrence,1.0,1.0,0.64,0.64,3 shared tenders; 24.62x expected contextual co-occurrence
V0527,cooccurrence,1.0,1.0,0.64,0.64,3 shared tenders; 24.62x expected contextual co-occurrence
V0086,cooccurrence,1.0,1.0,0.627,0.627,5 shared tenders; 24.50x expected contextual co-occurrence
V0233,cooccurrence,1.0,1.0,0.627,0.627,5 shared tenders; 24.50x expected contextual co-occurrence
V0115,cooccurrence,1.0,1.0,0.627,0.627,3 shared tenders; 24.50x expected contextual co-occurrence
V0236,cooccurrence,1.0,1.0,0.627,0.627,3 shared tenders; 24.50x expected contextual co-occurrence
V0099,cooccurrence,1.0,1.0,0.619,0.619,3 shared tenders; 24.16x expected contextual co-occurrence
V0296,cooccurrence,1.0,1.0,0.619,0.619,3 shared tenders; 24.16x expected contextual co-occurrence
V0239,cooccurrence,1.0,1.0,0.584,0.584,3 shared tenders; 24.06x expected contextual co-occurrence
V0253,cooccurrence,1.0,1.0,0.584,0.584,3 shared tenders; 24.06x expected contextual co-occurrence
V0085,cooccurrence,1.0,1.0,0.661,0.661,3 shared tenders; 23.85x expected contextual co-occurrence
V0314,cooccurrence,1.0,1.0,0.661,0.661,3 shared tenders; 23.85x expected contextual co-occurrence
V0140,cooccurrence,1.0,1.0,0.619,0.619,3 shared tenders; 23.67x expected contextual co-occurrence
V0479,cooccurrence,1.0,1.0,0.619,0.619,3 shared tenders; 23.67x expected contextual co-occurrence
V0140,cooccurrence,1.0,1.0,0.615,0.615,3 shared tenders; 23.55x expected contextual co-occurrence
V0181,cooccurrence,1.0,1.0,0.615,0.615,3 shared tenders; 23.55x expected contextual co-occurrence
V0115,cooccurrence,1.0,1.0,0.6,0.6,3 shared tenders; 23.45x expected contextual co-occurrence
V0425,cooccurrence,1.0,1.0,0.6,0.6,3 shared tenders; 23.45x expected contextual co-occurrence
V0085,cooccurrence,1.0,1.0,0.597,0.597,4 shared tenders; 23.32x expected contextual co-occurrence
V0233,cooccurrence,1.0,1.0,0.597,0.597,4 shared tenders; 23.32x expected contextual co-occurrence
V0071,cooccurrence,1.0,1.0,0.682,0.682,18 shared tenders; 23.32x expected contextual co-occurrence
V0074,cooccurrence,1.0,1.0,0.682,0.682,18 shared tenders; 23.32x expected contextual co-occurrence
V0052,cooccurrence,1.0,1.0,0.669,0.669,28 shared tenders; 23.13x expected contextual co-occurrence
V0053,cooccurrence,1.0,1.0,0.669,0.669,28 shared tenders; 23.13x expected contextual co-occurrence
V0300,cooccurrence,1.0,1.0,0.55,0.55,4 shared tenders; 23.11x expected contextual co-occurrence
