vendor_id,total_participation,regions_active,dominant_region,dominant_region_tenders,dominant_region_share,dominant_region_win_share
V0372,14,2,KA-CENTRAL,12,0.8571,0.75
V0452,20,3,KA-SOUTH,16,0.8,0.5
V0463,19,4,KA-CENTRAL,15,0.7895,0.75
V0399,9,2,KA-NORTH,7,0.7778,1.0
V0099,12,4,KA-NORTH,9,0.75,1.0
V0406,20,4,KA-NORTH,15,0.75,0.5
V0182,35,4,KA-CENTRAL,26,0.7429,0.875
V0548,19,4,KA-CENTRAL,14,0.7368,0.75
V0063,30,5,KA-CENTRAL,22,0.7333,0.8333
V0443,11,3,KA-CENTRAL,8,0.7273,1.0
V0465,18,4,KA-CENTRAL,13,0.7222,0.75
V0300,14,3,KA-NORTH,10,0.7143,1.0
V0242,41,5,KA-SOUTH,29,0.7073,0.7143
V0176,17,3,KA-NORTH,12,0.7059,0.75
V0412,20,4,KA-SOUTH,14,0.7,0.6
V0117,20,5,KA-NORTH,14,0.7,0.0
V0275,46,6,KA-CENTRAL,32,0.6957,0.5833
V0231,26,3,KA-CENTRAL,18,0.6923,0.75
V0239,13,5,KA-NORTH,9,0.6923,0.75
V0177,13,4,KA-SOUTH,9,0.6923,0.5
V0483,55,6,KA-CENTRAL,38,0.6909,1.0
V0482,16,3,KA-NORTH,11,0.6875,1.0
V0115,16,4,KA-NORTH,11,0.6875,0.75
V0332,51,5,KA-CENTRAL,35,0.6863,0.6
V0191,22,4,KA-SOUTH,15,0.6818,0.8333
V0141,28,6,KA-NORTH,19,0.6786,1.0
V0025,61,6,KA-CENTRAL,41,0.6721,0.7778
V0264,18,3,KA-SOUTH,12,0.6667,1.0
V0515,9,4,KA-CENTRAL,6,0.6667,1.0
V0456,18,4,KA-NORTH,12,0.6667,0.6667
V0021,15,4,KA-CENTRAL,10,0.6667,0.5
V0202,18,3,KA-NORTH,12,0.6667,0.5
V0335,38,5,KA-NORTH,25,0.6579,0.7143
V0387,35,5,KA-NORTH,23,0.6571,0.8
V0395,26,5,KA-NORTH,17,0.6538,0.6667
V0178,49,6,KA-NORTH,32,0.6531,0.6364
V0431,23,4,KA-SOUTH,15,0.6522,0.75
V0062,40,4,KA-SOUTH,26,0.65,1.0
V0205,14,4,KA-SOUTH,9,0.6429,0.6667
V0081,25,3,KA-NORTH,16,0.64,0.8
V0280,36,4,KA-SOUTH,23,0.6389,0.7778
V0132,58,5,KA-CENTRAL,37,0.6379,0.6667
V0054,33,6,KA-CENTRAL,21,0.6364,0.8
V0120,44,6,KA-CENTRAL,28,0.6364,0.6364
V0339,22,5,KA-SOUTH,14,0.6364,0.5
V0103,11,3,KA-SOUTH,7,0.6364,0.3333
V0216,19,5,KA-NORTH,12,0.6316,1.0
V0336,35,6,KA-CENTRAL,22,0.6286,0.6667
V0039,56,5,KA-CENTRAL,35,0.625,0.6667
V0256,40,5,KA-CENTRAL,25,0.625,0.5714
V0529,24,5,KA-NORTH,15,0.625,0.4
V0347,16,4,KA-SOUTH,10,0.625,0.0
V0338,45,5,KA-NORTH,28,0.6222,0.5
V0129,47,5,KA-SOUTH,29,0.617,0.5385
V0468,26,4,KA-CENTRAL,16,0.6154,0.5714
V0259,39,5,KA-NORTH,24,0.6154,0.5385
V0496,26,5,KA-NORTH,16,0.6154,0.0
V0060,18,5,KA-SOUTH,11,0.6111,0.25
V0313,28,4,KA-CENTRAL,17,0.6071,0.4
V0172,48,5,KA-CENTRAL,29,0.6042,0.4286
V0034,53,5,KA-CENTRAL,32,0.6038,0.7857
V0284,20,3,KA-NORTH,12,0.6,1.0
V0359,40,4,KA-NORTH,24,0.6,0.7143
V0033,25,4,KA-CENTRAL,15,0.6,0.6667
V0046,20,4,KA-NORTH,12,0.6,0.0
V0289,27,3,KA-NORTH,16,0.5926,0.6667
V0270,27,5,KA-SOUTH,16,0.5926,0.5
V0329,27,5,KA-NORTH,16,0.5926,0.5
V0263,49,6,KA-CENTRAL,29,0.5918,0.5
V0175,22,5,KA-SOUTH,13,0.5909,1.0
V0411,17,3,KA-CENTRAL,10,0.5882,1.0
V0094,17,3,KA-NORTH,10,0.5882,0.8
V0358,17,3,KA-NORTH,10,0.5882,0.75
V0276,41,5,KA-CENTRAL,24,0.5854,0.625
V0308,41,6,KA-CENTRAL,24,0.5854,0.5714
V0495,36,6,KA-CENTRAL,21,0.5833,0.625
V0168,12,3,KA-CENTRAL,7,0.5833,0.5
V0188,43,5,KA-NORTH,25,0.5814,0.6667
V0121,43,6,KA-NORTH,25,0.5814,0.4444
V0028,45,6,KA-CENTRAL,26,0.5778,0.6667
V0159,40,5,KA-SOUTH,23,0.575,0.625
V0320,40,6,KA-SOUTH,23,0.575,0.5
V0198,21,4,KA-NORTH,12,0.5714,1.0
V0419,56,6,KA-CENTRAL,32,0.5714,0.9167
V0184,63,6,KA-NORTH,36,0.5714,0.625
V0526,28,5,KA-SOUTH,16,0.5714,0.5714
V0458,35,5,KA-NORTH,20,0.5714,0.1667
V0220,37,6,KA-NORTH,21,0.5676,0.6
V0445,16,5,KA-SOUTH,9,0.5625,1.0
V0104,16,4,KA-SOUTH,9,0.5625,0.6667
V0382,16,5,KA-BENGALURU,9,0.5625,0.5
V0294,32,5,KA-CENTRAL,18,0.5625,0.3333
V0194,16,5,KA-CENTRAL,9,0.5625,0.0
V0296,16,3,KA-NORTH,9,0.5625,0.0
V0528,25,5,KA-CENTRAL,14,0.56,0.7143
V0152,25,6,KA-CENTRAL,14,0.56,0.5
V0499,25,5,KA-SOUTH,14,0.56,0.4286
V0045,9,4,KA-SOUTH,5,0.5556,1.0
V0153,36,6,KA-NORTH,20,0.5556,0.5
V0331,18,3,KA-NORTH,10,0.5556,0.4
V0171,9,5,KA-CENTRAL,5,0.5556,0.3333
V0534,9,3,KA-CENTRAL,5,0.5556,0.0
V0434,38,6,KA-CENTRAL,21,0.5526,0.75
V0245,38,5,KA-NORTH,21,0.5526,0.6667
V0064,40,5,KA-NORTH,22,0.55,0.6
V0086,20,5,KA-NORTH,11,0.55,0.6
V0509,42,5,KA-NORTH,23,0.5476,0.75
V0502,53,4,KA-NORTH,29,0.5472,1.0
V0047,55,6,KA-SOUTH,30,0.5455,0.5556
V0087,22,5,KA-SOUTH,12,0.5455,0.5
V0513,55,5,KA-NORTH,30,0.5455,0.5
V0386,22,4,KA-NORTH,12,0.5455,0.1667
V0248,46,5,KA-NORTH,25,0.5435,0.6
V0113,46,5,KA-NORTH,25,0.5435,0.4
V0378,24,5,KA-SOUTH,13,0.5417,0.75
V0022,24,3,KA-NORTH,13,0.5417,0.6
V0302,24,5,KA-NORTH,13,0.5417,0.5
V0547,48,5,KA-CENTRAL,26,0.5417,0.5
V0061,37,5,KA-NORTH,20,0.5405,0.7
V0258,37,4,KA-NORTH,20,0.5405,0.5714
V0016,50,5,KA-SOUTH,27,0.54,0.5714
V0368,50,6,KA-CENTRAL,27,0.54,0.3333
V0031,13,3,KA-NORTH,7,0.5385,0.75
V0262,26,5,KA-CENTRAL,14,0.5385,0.5714
V0297,39,5,KA-NORTH,21,0.5385,0.5
V0367,26,6,KA-NORTH,14,0.5385,0.0
V0455,43,6,KA-SOUTH,23,0.5349,0.5
V0384,45,5,KA-NORTH,24,0.5333,0.8
V0250,15,5,KA-CENTRAL,8,0.5333,0.6667
V0079,30,4,KA-SOUTH,16,0.5333,0.625
V0134,15,5,KA-NORTH,8,0.5333,0.5
V0363,45,4,KA-CENTRAL,24,0.5333,0.3333
V0516,32,5,KA-CENTRAL,17,0.5312,0.5
V0008,17,5,KA-SOUTH,9,0.5294,1.0
V0067,17,3,KA-CENTRAL,9,0.5294,0.6667
V0341,17,6,KA-CENTRAL,9,0.5294,0.5
V0488,36,4,KA-SOUTH,19,0.5278,1.0
V0389,19,5,KA-NORTH,10,0.5263,1.0
V0201,38,5,KA-SOUTH,20,0.5263,0.75
V0012,19,4,KA-SOUTH,10,0.5263,0.6667
V0498,19,5,KA-SOUTH,10,0.5263,0.25
V0286,21,4,KA-NORTH,11,0.5238,1.0
V0195,42,5,KA-SOUTH,22,0.5238,0.5455
V0501,21,5,KA-SOUTH,11,0.5238,0.4286
V0421,46,6,KA-SOUTH,24,0.5217,0.7
V0244,50,4,KA-NORTH,26,0.52,0.9091
V0494,29,5,KA-CENTRAL,15,0.5172,0.5556
V0414,31,5,KA-NORTH,16,0.5161,0.25
V0247,41,6,KA-NORTH,21,0.5122,0.6667
V0525,41,5,KA-SOUTH,21,0.5122,0.5455
V0454,43,6,KA-SOUTH,22,0.5116,0.5714
V0006,16,4,KA-SOUTH,8,0.5,1.0
V0085,16,5,KA-SOUTH,8,0.5,1.0
V0003,40,6,KA-SOUTH,20,0.5,0.5
V0023,44,6,KA-NORTH,22,0.5,0.5
V0180,14,5,KA-NORTH,7,0.5,0.5
V0418,18,6,KA-NORTH,9,0.5,0.5
V0479,14,3,KA-CENTRAL,7,0.5,0.5
V0174,18,5,KA-SOUTH,9,0.5,0.3333
V0200,30,5,KA-CENTRAL,15,0.5,0.3333
V0207,12,4,KA-CENTRAL,6,0.5,0.3333
V0236,12,4,KA-BENGALURU,6,0.5,0.3333
V0535,10,4,KA-NORTH,5,0.5,0.25
V0224,42,5,KA-SOUTH,21,0.5,0.1429
V0076,22,5,KA-SOUTH,11,0.5,0.0
V0145,18,4,KA-NORTH,9,0.5,0.0
V0187,34,5,KA-NORTH,17,0.5,0.0
V0379,53,6,KA-SOUTH,26,0.4906,0.6471
V0346,41,6,KA-SOUTH,20,0.4878,0.5714
V0504,41,6,KA-NORTH,20,0.4878,0.4444
V0269,39,6,KA-CENTRAL,19,0.4872,1.0
V0417,37,5,KA-SOUTH,18,0.4865,0.7778
V0249,37,6,KA-SOUTH,18,0.4865,0.7143
V0133,37,6,KA-NORTH,18,0.4865,0.6667
V0274,37,5,KA-NORTH,18,0.4865,0.5714
V0169,35,5,KA-SOUTH,17,0.4857,0.5556
V0326,27,5,KA-SOUTH,13,0.4815,0.5
V0360,25,6,KA-SOUTH,12,0.48,0.6667
V0204,23,5,KA-NORTH,11,0.4783,0.0
V0304,44,5,KA-SOUTH,21,0.4773,0.75
V0240,21,4,KA-CENTRAL,10,0.4762,0.75
V0408,21,6,KA-NORTH,10,0.4762,0.3333
V0426,40,6,KA-SOUTH,19,0.475,0.8
V0413,40,4,KA-NORTH,19,0.475,0.4
V0344,38,6,KA-SOUTH,18,0.4737,0.4444
V0107,19,6,KA-NORTH,9,0.4737,0.4
V0209,36,4,KA-SOUTH,17,0.4722,0.4
V0078,36,6,KA-SOUTH,17,0.4722,0.375
V0383,36,6,KA-NORTH,17,0.4722,0.375
V0043,51,6,KA-SOUTH,24,0.4706,0.6667
V0375,17,5,KA-CENTRAL,8,0.4706,0.6667
V0049,17,5,KA-BENGALURU,8,0.4706,0.5
V0144,68,6,KA-CENTRAL,32,0.4706,0.4167
V0306,17,4,KA-SOUTH,8,0.4706,0.0
V0265,15,3,KA-NORTH,7,0.4667,1.0
V0491,15,3,KA-NORTH,7,0.4667,0.3333
V0137,13,4,KA-BENGALURU,6,0.4615,0.6667
V0163,13,3,TN-NORTH,6,0.4615,0.5
V0435,13,4,KA-SOUTH,6,0.4615,0.4
V0429,26,5,KA-NORTH,12,0.4615,0.3
V0004,26,5,KA-CENTRAL,12,0.4615,0.25
V0154,24,5,KA-NORTH,11,0.4583,0.5
V0035,24,5,KA-CENTRAL,11,0.4583,0.3333
V0222,11,5,KA-SOUTH,5,0.4545,1.0
V0278,22,4,KA-NORTH,10,0.4545,0.75
V0273,22,6,KA-SOUTH,10,0.4545,0.0
V0299,22,4,KA-NORTH,10,0.4545,0.0
V0423,11,6,KA-CENTRAL,5,0.4545,0.0
V0481,64,6,KA-NORTH,29,0.4531,0.75
V0066,53,6,KA-SOUTH,24,0.4528,0.75
V0212,42,6,KA-SOUTH,19,0.4524,0.2222
V0005,31,6,KA-SOUTH,14,0.4516,0.5714
V0396,51,6,KA-CENTRAL,23,0.451,0.2857
V0430,20,5,KA-CENTRAL,9,0.45,0.75
V0546,20,6,KA-NORTH,9,0.45,0.5
V0447,20,5,KA-CENTRAL,9,0.45,0.3333
V0214,20,4,KA-NORTH,9,0.45,0.0
V0340,47,6,KA-NORTH,21,0.4468,0.0
V0309,56,6,KA-NORTH,25,0.4464,0.5
V0505,18,4,KA-SOUTH,8,0.4444,1.0
V0123,45,6,KA-NORTH,20,0.4444,0.6667
V0345,27,5,KA-SOUTH,12,0.4444,0.6667
V0138,18,4,KA-CENTRAL,8,0.4444,0.5
V0219,45,4,KA-SOUTH,20,0.4444,0.375
V0223,45,6,KA-CENTRAL,20,0.4444,0.3333
V0127,43,6,KA-NORTH,19,0.4419,0.6
V0160,16,5,KA-SOUTH,7,0.4375,0.5
V0013,32,6,KA-NORTH,14,0.4375,0.2857
V0014,46,6,KA-NORTH,20,0.4348,0.5
V0390,23,6,KA-CENTRAL,10,0.4348,0.3333
V0151,23,4,KA-CENTRAL,10,0.4348,0.0
V0510,30,6,KA-CENTRAL,13,0.4333,0.4
V0438,44,6,KA-SOUTH,19,0.4318,0.6
V0253,14,3,KA-SOUTH,6,0.4286,0.6667
V0165,14,4,KA-CENTRAL,6,0.4286,0.5
V0279,21,5,KA-NORTH,9,0.4286,0.5
V0492,14,4,KA-NORTH,6,0.4286,0.5
V0517,28,6,KA-SOUTH,12,0.4286,0.5
V0229,14,3,KA-CENTRAL,6,0.4286,0.25
V0476,21,4,KA-SOUTH,9,0.4286,0.0
V0213,19,4,KA-SOUTH,8,0.4211,1.0
V0251,19,6,KA-NORTH,8,0.4211,0.6667
V0388,19,5,KA-CENTRAL,8,0.4211,0.4
V0298,43,6,KA-NORTH,18,0.4186,0.6
V0218,43,5,KA-SOUTH,18,0.4186,0.5
V0400,24,6,KA-CENTRAL,10,0.4167,0.75
V0271,24,5,KA-CENTRAL,10,0.4167,0.6667
V0136,24,4,KA-NORTH,10,0.4167,0.5
V0425,12,6,KA-NORTH,5,0.4167,0.5
V0377,24,5,KA-SOUTH,10,0.4167,0.4
V0149,12,4,KA-NORTH,5,0.4167,0.3333
V0206,12,4,KA-CENTRAL,5,0.4167,0.3333
V0301,36,5,KA-NORTH,15,0.4167,0.3333
V0015,12,5,KA-SOUTH,5,0.4167,0.2
V0337,24,6,KA-NORTH,10,0.4167,0.0
V0288,29,5,KA-SOUTH,12,0.4138,0.6667
V0530,29,5,KA-SOUTH,12,0.4138,0.6667
V0072,58,6,KA-NORTH,24,0.4138,0.5
V0186,29,5,KA-CENTRAL,12,0.4138,0.2857
V0315,17,6,KA-NORTH,7,0.4118,0.6667
V0351,17,4,KA-SOUTH,7,0.4118,0.6667
V0096,17,5,KA-CENTRAL,7,0.4118,0.5
V0215,51,6,KA-SOUTH,21,0.4118,0.5
V0545,17,4,KA-CENTRAL,7,0.4118,0.5
V0158,34,6,KA-CENTRAL,14,0.4118,0.3333
V0441,17,4,KA-NORTH,7,0.4118,0.0
V0514,22,5,KA-SOUTH,9,0.4091,0.5
V0277,71,5,KA-NORTH,29,0.4085,0.7143
V0376,27,4,KA-CENTRAL,11,0.4074,0.25
