vendor_id,investigation_priority,evidence_family_count,evidence_families,weighted_evidence_strength,strongest_family_strength,convergence_strength,evidence_diversity,persistence_strength,context_factor,minimum_family_context,core_evidence_families,supporting_evidence_families,core_evidence_strength,supporting_evidence_strength,evidence_count,risk_components,explanations
V0001,29.62679012598158,3,"cooccurrence,economic,temporal",0.262433,0.396375,0.357328,0.86,0.462391,0.470776,0.146533,network,,0.396375,0.0,17,"{'cooccurrence': 0.3964, 'economic': 0.202, 'temporal': 0.1724}",[cooccurrence] conditional co-bidding 5.42x expected; persistence=1.00 | [economic] unusually compressed bid dispersion; compression=1.06; bids=10 | [temporal] vendor behavioral regime shift; procurement relevance=0.15; persistence=0.35
V0002,18.630639722025585,2,"cooccurrence,economic",0.206337,0.247567,0.235718,0.68,0.393179,0.596517,0.193035,,,0.247567,0.0,9,"{'cooccurrence': 0.2476, 'economic': 0.1629}",[cooccurrence] conditional co-bidding 4.00x expected; persistence=0.70 | [economic] unusually compressed bid dispersion; compression=0.95; bids=7
V0003,18.0553001977527,3,"cooccurrence,economic,temporal",0.181896,0.238395,0.221346,0.86,0.314288,0.47208,0.196392,,,0.238395,0.0,7,"{'cooccurrence': 0.2384, 'economic': 0.2091, 'temporal': 0.085}",[cooccurrence] conditional co-bidding 3.25x expected; persistence=0.73 | [economic] unusually compressed bid dispersion; compression=1.29; bids=8 | [temporal] vendor behavioral regime shift; procurement relevance=0.22; persistence=0.13
V0004,14.619006726785319,2,"cooccurrence,economic",0.19004,0.190434,0.190321,0.68,0.358974,0.595545,0.19109,,,0.190434,0.0,2,"{'cooccurrence': 0.1904, 'economic': 0.1896}",[cooccurrence] conditional co-bidding 2.34x expected; persistence=0.70 | [economic] unusually compressed bid dispersion; compression=1.23; bids=7
V0005,17.541625752186686,2,"cooccurrence,economic",0.21963,0.229613,0.226744,0.68,0.410256,0.595963,0.191926,,,0.229613,0.0,3,"{'cooccurrence': 0.2296, 'economic': 0.2091}",[cooccurrence] conditional co-bidding 2.60x expected; persistence=0.80 | [economic] unusually compressed bid dispersion; compression=1.29; bids=8
V0006,16.8343748166307,3,"cooccurrence,geographic,temporal",0.209681,0.393469,0.187728,0.86,0.395918,0.429648,0.097574,,geographic,0.20423,0.393469,3,"{'cooccurrence': 0.2042, 'geographic': 0.3935, 'temporal': 0.0864}",[geographic] winning geography differs from participation geography by 0.50 | [cooccurrence] conditional co-bidding 2.35x expected; persistence=0.80 | [temporal] vendor behavioral regime shift; procurement relevance=0.10; persistence=0.20
V0007,23.518283267204396,2,"cooccurrence,economic",0.256692,0.306032,0.291853,0.68,0.478615,0.623583,0.247165,network,,0.306032,0.0,11,"{'cooccurrence': 0.306, 'economic': 0.2048}",[cooccurrence] conditional co-bidding 3.92x expected; persistence=0.77 | [economic] unusually compressed bid dispersion; compression=1.45; bids=8
V0008,20.527221051025286,3,"cooccurrence,geographic,temporal",0.233383,0.356736,0.243466,0.86,0.403388,0.434124,0.086089,network,geographic,0.265418,0.356736,4,"{'cooccurrence': 0.2654, 'geographic': 0.3567, 'temporal': 0.1086}",[geographic] winning geography differs from participation geography by 0.47 | [cooccurrence] conditional co-bidding 5.38x expected; persistence=0.73 | [temporal] vendor behavioral regime shift; procurement relevance=0.09; persistence=0.30
V0009,18.467630086604895,2,"cooccurrence,economic",0.231691,0.239099,0.237077,0.68,0.358974,0.608175,0.21635,,,0.239099,0.0,3,"{'cooccurrence': 0.2247, 'economic': 0.2391}",[economic] unusually compressed bid dispersion; compression=1.52; bids=10 | [cooccurrence] conditional co-bidding 4.20x expected; persistence=0.70
V0010,24.802706104250973,2,"cooccurrence,economic",0.274779,0.318651,0.306044,0.68,0.512821,0.636844,0.273688,network,,0.318651,0.0,29,"{'cooccurrence': 0.3187, 'economic': 0.2286}",[cooccurrence] conditional co-bidding 1.07x expected; persistence=1.00 | [economic] unusually compressed bid dispersion; compression=1.64; bids=6
V0011,11.878179996536929,1,cooccurrence,0.21497,0.21497,0.21497,0.35,0.7333,0.35,0.191324,,,0.21497,0.0,2,{'cooccurrence': 0.215},[cooccurrence] conditional co-bidding 2.40x expected; persistence=0.73
V0012,13.293665839565458,2,"cooccurrence,economic",0.173461,0.174213,0.173997,0.68,0.376051,0.588005,0.17601,,,0.174213,0.0,2,"{'cooccurrence': 0.1742, 'economic': 0.1727}",[cooccurrence] conditional co-bidding 1.56x expected; persistence=0.73 | [economic] unusually compressed bid dispersion; compression=1.03; bids=9
V0013,13.271248882847186,1,cooccurrence,0.240182,0.240182,0.240182,0.35,0.7333,0.35,0.224496,,,0.240182,0.0,1,{'cooccurrence': 0.2402},[cooccurrence] conditional co-bidding 5.00x expected; persistence=0.73
V0014,22.309901815103807,2,"cooccurrence,economic",0.280592,0.292593,0.289317,0.68,0.444462,0.592672,0.185344,"network,economic",,0.292593,0.0,14,"{'cooccurrence': 0.2692, 'economic': 0.2926}",[economic] unusually compressed bid dispersion; compression=2.03; bids=9 | [cooccurrence] conditional co-bidding 4.29x expected; persistence=0.83
V0015,12.390793293655369,3,"cooccurrence,economic,temporal",0.153943,0.171045,0.165792,0.86,0.335,0.399603,0.021918,,,0.171045,0.0,3,"{'cooccurrence': 0.171, 'economic': 0.1706, 'temporal': 0.1152}",[cooccurrence] conditional co-bidding 1.60x expected; persistence=0.70 | [economic] unusually compressed bid dispersion; compression=1.28; bids=6 | [temporal] vendor behavioral regime shift; procurement relevance=0.02; persistence=0.28
V0016,24.95967655872286,2,"cooccurrence,economic",0.275287,0.328047,0.312885,0.68,0.461538,0.610129,0.220259,network,,0.328047,0.0,19,"{'cooccurrence': 0.328, 'economic': 0.2198}",[cooccurrence] conditional co-bidding 4.53x expected; persistence=0.87 | [economic] unusually compressed bid dispersion; compression=1.44; bids=7
V0018,16.092498905212707,1,economic,0.187122,0.187122,0.187122,0.35,0.0,1.0,1.0,,,0.187122,0.0,1,{'economic': 0.1871},[economic] unusually compressed bid dispersion; compression=1.45; bids=8
V0019,26.16819101759369,3,"cooccurrence,economic,geographic",0.284254,0.550671,0.226253,0.86,0.27451,0.741577,0.224732,,geographic,0.235921,0.550671,3,"{'cooccurrence': 0.2359, 'economic': 0.1669, 'geographic': 0.5507}",[geographic] winning geography differs from participation geography by 0.70 | [cooccurrence] conditional co-bidding 5.03x expected; persistence=0.70 | [economic] unusually compressed bid dispersion; compression=2.09; bids=4
V0020,27.760030411108026,2,"cooccurrence,economic",0.277702,0.354,0.332074,0.68,0.512821,0.660622,0.321245,network,,0.354,0.0,21,"{'cooccurrence': 0.354, 'economic': 0.1974}",[cooccurrence] conditional co-bidding 1.26x expected; persistence=1.00 | [economic] unusually compressed bid dispersion; compression=1.80; bids=4
V0021,7.601072029636972,1,temporal,0.137564,0.137564,0.137564,0.35,0.2857,0.35,0.164081,,,0.137564,0.0,1,{'temporal': 0.1376},[temporal] vendor behavioral regime shift; procurement relevance=0.16; persistence=0.29
V0022,16.2625042165433,2,"cooccurrence,temporal",0.195281,0.270039,0.24726,0.68,0.483478,0.35,0.167327,network,,0.270039,0.0,9,"{'cooccurrence': 0.27, 'temporal': 0.1073}",[cooccurrence] conditional co-bidding 5.70x expected; persistence=0.73 | [temporal] vendor behavioral regime shift; procurement relevance=0.17; persistence=0.11
V0023,15.971439144879934,2,"cooccurrence,economic",0.20185,0.210287,0.207862,0.68,0.444462,0.58771,0.17542,,,0.210287,0.0,11,"{'cooccurrence': 0.2103, 'economic': 0.193}",[cooccurrence] conditional co-bidding 2.42x expected; persistence=0.67 | [economic] unusually compressed bid dispersion; compression=1.35; bids=6
V0024,30.266566058626065,2,"cooccurrence,economic",0.3014,0.395759,0.368643,0.68,0.512821,0.630302,0.260605,network,,0.395759,0.0,18,"{'cooccurrence': 0.3958, 'economic': 0.2021}",[cooccurrence] conditional co-bidding 5.42x expected; persistence=1.00 | [economic] unusually compressed bid dispersion; compression=1.06; bids=10
V0025,20.708981056447996,3,"cooccurrence,economic,temporal",0.193709,0.284562,0.257587,0.86,0.417857,0.437344,0.105045,network,,0.284562,0.0,24,"{'cooccurrence': 0.2846, 'economic': 0.1974, 'temporal': 0.0827}",[cooccurrence] conditional co-bidding 1.13x expected; persistence=1.00 | [economic] unusually compressed bid dispersion; compression=1.80; bids=4 | [temporal] vendor behavioral regime shift; procurement relevance=0.11; persistence=0.20
V0026,16.091527375432875,1,cooccurrence,0.291223,0.291223,0.291223,0.35,1.0,0.35,0.2651,network,,0.291223,0.0,14,{'cooccurrence': 0.2912},[cooccurrence] conditional co-bidding 1.35x expected; persistence=1.00
V0027,13.789456118981782,1,cooccurrence,0.24956,0.24956,0.24956,0.35,0.7667,0.35,0.209638,,,0.24956,0.0,2,{'cooccurrence': 0.2496},[cooccurrence] conditional co-bidding 4.42x expected; persistence=0.70
V0028,19.01522862875472,2,"cooccurrence,economic",0.228086,0.250163,0.243819,0.68,0.444462,0.596686,0.193373,network,,0.250163,0.0,9,"{'cooccurrence': 0.2502, 'economic': 0.2048}",[cooccurrence] conditional co-bidding 3.65x expected; persistence=0.77 | [economic] unusually compressed bid dispersion; compression=0.91; bids=7
V0029,17.93455425683629,3,"cooccurrence,economic,temporal",0.204159,0.231452,0.22352,0.86,0.371429,0.479743,0.196805,,,0.231452,0.0,4,"{'cooccurrence': 0.2315, 'economic': 0.1896, 'temporal': 0.1883}",[cooccurrence] conditional co-bidding 3.46x expected; persistence=0.70 | [economic] unusually compressed bid dispersion; compression=1.23; bids=7 | [temporal] vendor behavioral regime shift; procurement relevance=0.24; persistence=0.40
V0033,15.486837215270697,2,"cooccurrence,temporal",0.18993,0.256559,0.236257,0.68,0.487946,0.35,0.165283,network,,0.256559,0.0,8,"{'cooccurrence': 0.2566, 'temporal': 0.1115}",[cooccurrence] conditional co-bidding 4.38x expected; persistence=0.73 | [temporal] vendor behavioral regime shift; procurement relevance=0.17; persistence=0.16
V0034,15.282212729464886,2,"cooccurrence,temporal",0.197167,0.251692,0.235078,0.68,0.570581,0.35,0.212564,network,,0.251692,0.0,8,"{'cooccurrence': 0.2517, 'temporal': 0.133}",[cooccurrence] conditional co-bidding 4.00x expected; persistence=0.73 | [temporal] vendor behavioral regime shift; procurement relevance=0.25; persistence=0.26
