person_id,name,role
P0001,Person-0001,PARTNER
P0002,Person-0002,PARTNER
P0003,Person-0003,PARTNER
P0004,Person-0004,PARTNER
P0005,Person-0005,PARTNER
P0006,Person-0006,DIRECTOR
P0007,Person-0007,OWNER
P0008,Person-0008,OWNER
P0009,Person-0009,OWNER
P0010,Person-0010,OWNER
P0011,Person-0011,PARTNER
P0012,Person-0012,PARTNER
P0013,Person-0013,OWNER
P0014,Person-0014,DIRECTOR
P0015,Person-0015,PARTNER
P0016,Person-0016,PARTNER
P0017,Person-0017,DIRECTOR
P0018,Person-0018,PARTNER
P0019,Person-0019,DIRECTOR
P0020,Person-0020,OWNER
P0021,Person-0021,PARTNER
P0022,Person-0022,OWNER
P0023,Person-0023,DIRECTOR
P0024,Person-0024,OWNER
P0025,Person-0025,OWNER
P0026,Person-0026,DIRECTOR
P0027,Person-0027,PARTNER
P0028,Person-0028,DIRECTOR
P0029,Person-0029,PARTNER
P0030,Person-0030,OWNER
P0031,Person-0031,OWNER
P0032,Person-0032,DIRECTOR
P0033,Person-0033,DIRECTOR
P0034,Person-0034,OWNER
P0035,Person-0035,PARTNER
P0036,Person-0036,OWNER
P0037,Person-0037,DIRECTOR
P0038,Person-0038,OWNER
P0039,Person-0039,DIRECTOR
P0040,Person-0040,OWNER
P0041,Person-0041,DIRECTOR
P0042,Person-0042,OWNER
P0043,Person-0043,OWNER
P0044,Person-0044,OWNER
P0045,Person-0045,PARTNER
P0046,Person-0046,PARTNER
P0047,Person-0047,DIRECTOR
P0048,Person-0048,PARTNER
P0049,Person-0049,OWNER
P0050,Person-0050,PARTNER
P0051,Person-0051,DIRECTOR
P0052,Person-0052,DIRECTOR
P0053,Person-0053,OWNER
P0054,Person-0054,OWNER
P0055,Person-0055,OWNER
P0056,Person-0056,OWNER
P0057,Person-0057,PARTNER
P0058,Person-0058,OWNER
P0059,Person-0059,DIRECTOR
P0060,Person-0060,PARTNER
P0061,Person-0061,DIRECTOR
P0062,Person-0062,OWNER
P0063,Person-0063,OWNER
P0064,Person-0064,PARTNER
P0065,Person-0065,OWNER
P0066,Person-0066,DIRECTOR
P0067,Person-0067,DIRECTOR
P0068,Person-0068,OWNER
P0069,Person-0069,DIRECTOR
P0070,Person-0070,PARTNER
P0071,Person-0071,OWNER
P0072,Person-0072,OWNER
P0073,Person-0073,DIRECTOR
P0074,Person-0074,DIRECTOR
P0075,Person-0075,PARTNER
P0076,Person-0076,PARTNER
P0077,Person-0077,PARTNER
P0078,Person-0078,PARTNER
P0079,Person-0079,OWNER
P0080,Person-0080,DIRECTOR
P0081,Person-0081,OWNER
P0082,Person-0082,PARTNER
P0083,Person-0083,DIRECTOR
P0084,Person-0084,DIRECTOR
P0085,Person-0085,DIRECTOR
P0086,Person-0086,PARTNER
P0087,Person-0087,PARTNER
P0088,Person-0088,PARTNER
P0089,Person-0089,PARTNER
P0090,Person-0090,OWNER
P0091,Person-0091,DIRECTOR
P0092,Person-0092,DIRECTOR
P0093,Person-0093,DIRECTOR
P0094,Person-0094,DIRECTOR
P0095,Person-0095,PARTNER
P0096,Person-0096,OWNER
P0097,Person-0097,OWNER
P0098,Person-0098,PARTNER
P0099,Person-0099,OWNER
P0100,Person-0100,OWNER
P0101,Person-0101,PARTNER
P0102,Person-0102,PARTNER
P0103,Person-0103,PARTNER
P0104,Person-0104,DIRECTOR
P0105,Person-0105,OWNER
P0106,Person-0106,DIRECTOR
P0107,Person-0107,PARTNER
P0108,Person-0108,OWNER
P0109,Person-0109,DIRECTOR
P0110,Person-0110,DIRECTOR
P0111,Person-0111,PARTNER
P0112,Person-0112,DIRECTOR
P0113,Person-0113,DIRECTOR
P0114,Person-0114,OWNER
P0115,Person-0115,DIRECTOR
P0116,Person-0116,OWNER
P0117,Person-0117,PARTNER
P0118,Person-0118,PARTNER
P0119,Person-0119,PARTNER
P0120,Person-0120,DIRECTOR
P0121,Person-0121,PARTNER
P0122,Person-0122,PARTNER
P0123,Person-0123,PARTNER
P0124,Person-0124,OWNER
P0125,Person-0125,DIRECTOR
P0126,Person-0126,OWNER
P0127,Person-0127,OWNER
P0128,Person-0128,DIRECTOR
P0129,Person-0129,DIRECTOR
P0130,Person-0130,PARTNER
P0131,Person-0131,OWNER
P0132,Person-0132,PARTNER
P0133,Person-0133,PARTNER
P0134,Person-0134,OWNER
P0135,Person-0135,DIRECTOR
P0136,Person-0136,OWNER
P0137,Person-0137,OWNER
P0138,Person-0138,OWNER
P0139,Person-0139,OWNER
P0140,Person-0140,OWNER
P0141,Person-0141,PARTNER
P0142,Person-0142,PARTNER
P0143,Person-0143,DIRECTOR
P0144,Person-0144,OWNER
P0145,Person-0145,PARTNER
P0146,Person-0146,OWNER
P0147,Person-0147,PARTNER
P0148,Person-0148,OWNER
P0149,Person-0149,DIRECTOR
P0150,Person-0150,DIRECTOR
P0151,Person-0151,OWNER
P0152,Person-0152,PARTNER
P0153,Person-0153,DIRECTOR
P0154,Person-0154,OWNER
P0155,Person-0155,DIRECTOR
P0156,Person-0156,DIRECTOR
P0157,Person-0157,DIRECTOR
P0158,Person-0158,DIRECTOR
P0159,Person-0159,DIRECTOR
P0160,Person-0160,OWNER
P0161,Person-0161,DIRECTOR
P0162,Person-0162,DIRECTOR
P0163,Person-0163,PARTNER
P0164,Person-0164,OWNER
P0165,Person-0165,OWNER
P0166,Person-0166,OWNER
P0167,Person-0167,OWNER
P0168,Person-0168,OWNER
P0169,Person-0169,OWNER
P0170,Person-0170,PARTNER
P0171,Person-0171,OWNER
P0172,Person-0172,OWNER
P0173,Person-0173,OWNER
P0174,Person-0174,OWNER
P0175,Person-0175,OWNER
P0176,Person-0176,DIRECTOR
P0177,Person-0177,DIRECTOR
P0178,Person-0178,OWNER
P0179,Person-0179,OWNER
