relationship_id,entity_a,entity_b,relationship_type,valid_from,valid_to
R0001,V0017,P0137,SHARED_DIRECTOR,2020-01-01,
R0002,V0227,P0107,SHARED_DIRECTOR,2020-01-01,
R0003,V0502,P0015,SHARED_DIRECTOR,2020-01-01,
R0004,V0264,P0143,SHARED_DIRECTOR,2020-01-01,
R0005,V0171,P0106,SHARED_DIRECTOR,2020-01-01,
R0006,V0106,P0151,SHARED_DIRECTOR,2020-01-01,
R0007,V0183,P0026,SHARED_DIRECTOR,2020-01-01,
R0008,V0348,P0095,SHARED_DIRECTOR,2020-01-01,
R0009,V0276,P0143,SHARED_DIRECTOR,2020-01-01,
R0010,V0025,P0165,SHARED_DIRECTOR,2020-01-01,
R0011,V0338,P0135,SHARED_DIRECTOR,2020-01-01,
R0012,V0495,P0071,SHARED_DIRECTOR,2020-01-01,
R0013,V0518,P0045,SHARED_DIRECTOR,2020-01-01,
R0014,V0109,P0089,SHARED_DIRECTOR,2020-01-01,
R0015,V0446,P0094,SHARED_DIRECTOR,2020-01-01,
R0016,V0306,P0086,SHARED_DIRECTOR,2020-01-01,
R0017,V0344,P0146,SHARED_DIRECTOR,2020-01-01,
R0018,V0269,P0059,SHARED_DIRECTOR,2020-01-01,
R0019,V0444,P0146,SHARED_DIRECTOR,2020-01-01,
R0020,V0326,P0030,SHARED_DIRECTOR,2020-01-01,
R0021,V0231,P0004,SHARED_DIRECTOR,2020-01-01,
R0022,V0074,P0017,SHARED_DIRECTOR,2020-01-01,
R0023,V0042,P0112,SHARED_DIRECTOR,2020-01-01,
R0024,V0106,P0173,SHARED_DIRECTOR,2020-01-01,
R0025,V0118,P0053,SHARED_DIRECTOR,2020-01-01,
R0026,V0315,P0052,SHARED_DIRECTOR,2020-01-01,
R0027,V0059,P0048,SHARED_DIRECTOR,2020-01-01,
R0028,V0078,P0142,SHARED_DIRECTOR,2020-01-01,
R0029,V0399,P0083,SHARED_DIRECTOR,2020-01-01,
R0030,V0273,P0034,SHARED_DIRECTOR,2020-01-01,
R0031,V0096,P0018,SHARED_DIRECTOR,2020-01-01,
R0032,V0253,P0042,SHARED_DIRECTOR,2020-01-01,
R0033,V0105,P0081,SHARED_DIRECTOR,2020-01-01,
R0034,V0253,P0173,SHARED_DIRECTOR,2020-01-01,
R0035,V0124,P0070,SHARED_DIRECTOR,2020-01-01,
R0036,V0259,ADDR-0024,SHARED_ADDRESS,2020-01-01,
R0037,V0200,ADDR-0128,SHARED_ADDRESS,2020-01-01,
R0038,V0424,ADDR-0052,SHARED_ADDRESS,2020-01-01,
R0039,V0293,ADDR-0022,SHARED_ADDRESS,2020-01-01,
R0040,V0410,ADDR-0098,SHARED_ADDRESS,2020-01-01,
R0041,V0323,ADDR-0031,SHARED_ADDRESS,2020-01-01,
R0042,V0458,ADDR-0129,SHARED_ADDRESS,2020-01-01,
R0043,V0071,ADDR-0009,SHARED_ADDRESS,2020-01-01,
R0044,V0220,ADDR-0130,SHARED_ADDRESS,2020-01-01,
R0045,V0140,ADDR-0050,SHARED_ADDRESS,2020-01-01,
R0046,V0484,ADDR-0062,SHARED_ADDRESS,2020-01-01,
R0047,V0447,ADDR-0067,SHARED_ADDRESS,2020-01-01,
R0048,V0266,ADDR-0124,SHARED_ADDRESS,2020-01-01,
R0049,V0187,ADDR-0103,SHARED_ADDRESS,2020-01-01,
R0050,V0270,ADDR-0020,SHARED_ADDRESS,2020-01-01,
R0051,V0410,ADDR-0066,SHARED_ADDRESS,2020-01-01,
R0052,V0175,ADDR-0124,SHARED_ADDRESS,2020-01-01,
R0053,V0188,ADDR-0065,SHARED_ADDRESS,2020-01-01,
R0054,V0180,ADDR-0098,SHARED_ADDRESS,2020-01-01,
R0055,V0029,ADDR-0031,SHARED_ADDRESS,2020-01-01,
R0056,V0277,ADDR-0138,SHARED_ADDRESS,2020-01-01,
R0057,V0224,ADDR-0106,SHARED_ADDRESS,2020-01-01,
R0058,V0150,ADDR-0089,SHARED_ADDRESS,2020-01-01,
R0059,V0340,ADDR-0044,SHARED_ADDRESS,2020-01-01,
R0060,V0464,ADDR-0058,SHARED_ADDRESS,2020-01-01,
