vendor_id,total_tenders,early_tenders,late_tenders,early_wins,late_wins,early_win_rate,late_win_rate,win_rate_shift,early_participation_share,late_participation_share,participation_shift,standardized_win_shift,sample_weight,behavioral_shift
V0546,20,10,10,0,6,0.0,0.6,0.6,0.5,0.5,0.0,2.9277,0.7071,0.4243
V0417,37,19,18,1,8,0.0526,0.4444,0.3918,0.5135,0.4865,-0.027,2.7765,0.9487,0.3973
V0035,24,12,12,0,6,0.0,0.5,0.5,0.5,0.5,0.0,2.8284,0.7746,0.3873
V0235,11,6,5,0,3,0.0,0.6,0.6,0.5455,0.4545,-0.0909,2.2249,0.5,0.3455
V0454,43,22,21,7,0,0.3182,0.0,-0.3182,0.5116,0.4884,-0.0233,2.8251,1.0,0.3414
V0082,32,16,16,8,2,0.5,0.125,-0.375,0.5,0.5,0.0,2.2883,0.8944,0.3354
V0499,25,13,12,6,1,0.4615,0.0833,-0.3782,0.52,0.48,-0.04,2.1041,0.7746,0.3239
V0382,16,8,8,0,4,0.0,0.5,0.5,0.5,0.5,0.0,2.3094,0.6325,0.3162
V0066,53,27,26,10,2,0.3704,0.0769,-0.2934,0.5094,0.4906,-0.0189,2.5518,1.0,0.3123
V0297,39,20,19,8,2,0.4,0.1053,-0.2947,0.5128,0.4872,-0.0256,2.107,0.9747,0.3123
V0262,26,13,13,1,6,0.0769,0.4615,0.3846,0.5,0.5,0.0,2.2107,0.8062,0.3101
V0407,40,20,20,7,1,0.35,0.05,-0.3,0.5,0.5,0.0,2.3717,1.0,0.3
V0174,18,9,9,5,1,0.5556,0.1111,-0.4444,0.5,0.5,0.0,2.0,0.6708,0.2981
V0433,35,18,17,0,5,0.0,0.2941,0.2941,0.5143,0.4857,-0.0286,2.4853,0.922,0.2975
V0293,41,21,20,1,6,0.0476,0.3,0.2524,0.5122,0.4878,-0.0244,2.1468,1.0,0.2768
V0067,17,9,8,0,3,0.0,0.375,0.375,0.5294,0.4706,-0.0588,2.0244,0.6325,0.2744
