vendor_id,regime_signal,risk_relevance,risk_adjusted_regime_signal,risk_class,win_change_relevance,participation_change_relevance,network_change_relevance,bid_position_relevance,interaction_relevance,mahalanobis_distance,cusum_score,persistence_score,z_participation_intensity,z_win_rate,z_bid_position,z_market_breadth,z_network_exposure,risk_explanation
V0235,0.6513,0.2667559306853326,0.39973980034153817,PROCUREMENT_RELEVANT,0.42885863108836697,0.0,0.0,0.6176736717346145,0.0,7.8481,3.0111,0.44,-0.2265,1.8772,-4.8467,0.0,-1.6188,win rate increased (1.9 robust deviations); bid positioning shifted toward stronger positions (4.8 robust deviations)
V0029,0.5997,0.24242381583883232,0.3596835997858253,BEHAVIORAL_ONLY,0.4068661178201144,0.0,0.0,0.37294902075538744,0.0,3.3508,2.0662,0.4,-0.7314,1.7149,-1.7843,0.0,-0.7264,win rate increased (1.7 robust deviations); bid positioning shifted toward stronger positions (1.8 robust deviations)
V0001,0.6359,0.14653271493732656,0.3532937726570326,BEHAVIORAL_ONLY,0.13644214162348878,0.41687561956965413,0.0,0.0,0.10732231348024619,5.0173,1.8179,0.3467,2.1447,0.395,0.2374,-0.9302,-1.3353,participation increased (2.1 robust deviations)
V0035,0.5627,0.294724854024474,0.34442135915133054,PROCUREMENT_RELEVANT,0.3912979961530033,0.16055738989311097,0.12628145386766076,0.11055768033443031,0.22306834513507226,9.1067,0.6942,0.3111,0.5738,1.6071,-0.3729,-1.4286,0.4336,win rate increased (1.6 robust deviations)
V0459,0.5336,0.2727480131830548,0.3239724582652774,PROCUREMENT_RELEVANT,0.4251155517740934,0.0773772911797269,0.0,0.2665216009388524,0.08161552359396768,4.7735,1.0102,0.35,0.2516,1.8487,-1.0901,0.0,-1.2848,win rate increased (1.8 robust deviations)
V0113,0.6069,0.08553754263490407,0.3205490539753746,BEHAVIORAL_ONLY,0.06542056074766354,0.30672705844290893,0.0,0.0,0.0637449360527002,5.3782,1.3623,0.3167,1.3273,0.175,0.332,-1.1111,-1.51,behavioral deviation detected; procurement relevance is weak
V0438,0.5538,0.1987607818726714,0.3140824671153717,BEHAVIORAL_ONLY,0.2624063256033516,0.25836196880176016,0.0,0.0,0.11716933267308396,5.3823,0.9561,0.2462,1.0451,0.8894,0.0699,-1.1111,-0.1998,behavioral deviation detected; procurement relevance is weak
V0430,0.5305,0.23443130971851023,0.3125309784532805,BEHAVIORAL_ONLY,0.3196538398737278,0.1468304752154253,0.0,0.4300803586694277,0.09749011414318746,5.4227,1.0437,0.325,0.5163,1.1746,-2.2639,0.0,-0.3653,bid positioning shifted toward stronger positions (2.3 robust deviations)
V0448,0.5513,0.201788466756245,0.31088260876219637,BEHAVIORAL_ONLY,0.20012797952327627,0.032538940307652614,0.5219961441022292,0.18048460676919714,0.1851474165744328,6.6342,1.6714,0.2,0.1009,0.6255,-0.6607,-1.4286,3.2761,network exposure increased (3.3 robust deviations)
V0494,0.6249,0.015068205666316892,0.31082006081888564,BEHAVIORAL_ONLY,0.0,0.12556838055264077,0.0,0.0,0.0,9.3189,1.1986,0.2889,0.4308,-1.4224,1.7285,-2.0,-0.8094,behavioral deviation detected; procurement relevance is weak
V0546,0.5118,0.28110057183768605,0.3106187580013855,PROCUREMENT_RELEVANT,0.4134071658180624,0.1709042670793721,0.0,0.18591083009959025,0.11961288541623775,7.2922,0.5435,0.3143,0.6184,1.7619,-0.6851,0.0,-1.1123,win rate increased (1.8 robust deviations)
V0209,0.5409,0.2140908471934109,0.3095619363151084,BEHAVIORAL_ONLY,0.37415510939768687,0.0,0.0,0.16611074049366245,0.0,6.0763,0.7025,0.2364,-0.3103,1.4946,-0.5976,0.0,-0.2513,behavioral deviation detected; procurement relevance is weak
V0224,0.5304,0.2185369588211467,0.30949064179628155,BEHAVIORAL_ONLY,0.3827160493827161,0.0,0.0,0.16086263321305697,0.0,3.6131,1.1278,0.3333,-0.6095,1.55,-0.5751,0.0,-0.8824,win rate increased (1.6 robust deviations)
V0219,0.5576,0.17250697725414388,0.30796959664469664,BEHAVIORAL_ONLY,0.17646671278453074,0.18980231176407045,0.19493344783168742,0.0,0.18539665992214266,7.0542,0.7799,0.2,0.7028,0.5357,0.2181,-1.5385,0.7264,behavioral deviation detected; procurement relevance is weak
V0533,0.5365,0.21227721946767458,0.3075963433113144,BEHAVIORAL_ONLY,0.2954173947353588,0.222636815920398,0.0,0.0,0.11540617226389745,4.7815,0.9319,0.2545,0.8592,1.0482,0.0587,-0.9524,-0.7994,behavioral deviation detected; procurement relevance is weak
V0417,0.5182,0.2503658572494039,0.30562132164834105,PROCUREMENT_RELEVANT,0.42793071096771246,0.0,0.0,0.3000793243432411,0.0,3.6356,1.1675,0.2667,-0.1975,1.8701,-1.2862,-0.5882,-0.3201,win rate increased (1.9 robust deviations)
V0073,0.5482,0.15569397810237653,0.30461934743529145,BEHAVIORAL_ONLY,0.24237832595914904,0.0,0.034717976768879305,0.24539692121943857,0.03669307311181138,3.6715,1.3887,0.3077,-0.72,0.7998,-0.9756,0.0,0.1079,behavioral deviation detected; procurement relevance is weak
V0374,0.5166,0.1991356021251256,0.30399086126721286,BEHAVIORAL_ONLY,0.34782041582970286,0.0,0.0,0.15668746837578007,0.0,5.9795,0.8064,0.4667,-1.3285,1.3333,-0.5574,0.0,0.0,behavioral deviation detected; procurement relevance is weak
V0427,0.5434,0.17631517559852194,0.3009462279024138,BEHAVIORAL_ONLY,0.25595238095238093,0.1359198133586797,0.0,0.048887198021685375,0.08393314285293298,4.9401,1.8207,0.2,0.4719,0.86,-0.1542,-1.0,-2.4282,behavioral deviation detected; procurement relevance is weak
V0439,0.4894,0.290465722282212,0.3006581875814359,PROCUREMENT_RELEVANT,0.430484998974873,0.019543761030132688,0.13035916166623185,0.24408496484995085,0.14360370173309903,3.3408,1.1167,0.35,0.0598,1.8897,-0.9687,0.0,0.4497,win rate increased (1.9 robust deviations)
V0223,0.5552,0.14196257644849836,0.2982261429770568,BEHAVIORAL_ONLY,0.15754001684919966,0.2983605023738803,0.0,0.0,0.09756153448286445,6.8425,0.8684,0.1667,1.2757,0.4675,0.3955,-1.4815,-0.7328,behavioral deviation detected; procurement relevance is weak
V0229,0.4843,0.29735073913848414,0.2947412945080562,PROCUREMENT_RELEVANT,0.39506859922084836,0.09464027040077257,0.18356238944074024,0.22241517845571654,0.21450213520439873,7.4541,0.5238,0.2667,0.3136,1.6327,-0.8581,0.0,0.6745,win rate increased (1.6 robust deviations)
V0373,0.5166,0.2002393028397908,0.29471822088915184,BEHAVIORAL_ONLY,0.2516538450025444,0.2081716683822947,0.0,0.3249932499324993,0.10299712692945522,4.1789,1.2479,0.275,0.7887,0.8407,-1.4444,0.0,-0.8647,behavioral deviation detected; procurement relevance is weak
