vendor_id,history_months,recent_months,historical_tenders,recent_tenders,mahalanobis_distance,cusum_score,persistence_score,regime_signal,z_participation_intensity,z_win_rate,z_bid_position,z_market_breadth,z_network_exposure,historical_participation_intensity,historical_win_rate,historical_bid_position,historical_market_breadth,historical_network_exposure,recent_participation_intensity,recent_win_rate,recent_bid_position,recent_market_breadth,recent_network_exposure,explanation
V0001,14,15,19,43,5.0173,1.8179,0.3467,0.6359,2.1447,0.395,0.2374,-0.9302,-1.3353,0.0183,0.0671,0.428,1.0,7.0526,0.0352,0.1363,0.4405,0.907,4.8605,participation intensity increased (2.1 robust deviations)
V0002,8,9,10,12,1.4506,0.3342,0.1333,0.2358,0.2913,-0.2381,0.1188,0.0,-1.1024,0.0171,0.0795,0.5629,1.0,6.2,0.0166,0.0152,0.6008,1.0,4.3333,no single dominant feature; multivariate behavioral shift
V0003,11,12,20,20,1.9087,0.3627,0.1333,0.2933,0.3523,1.0549,-0.24,0.0,0.3238,0.0243,0.1231,0.5735,0.9,5.15,0.0216,0.2769,0.4129,1.0,5.8,no single dominant feature; multivariate behavioral shift
V0004,10,10,14,12,0.903,0.211,0.1,0.1708,0.1982,-0.2503,0.59,-0.8333,0.1349,0.0184,0.1962,0.4381,0.8571,5.2857,0.0154,0.1068,0.6249,0.9167,5.5,no single dominant feature; multivariate behavioral shift
V0005,8,9,15,16,0.7853,0.411,0.1333,0.1824,0.1247,-0.2965,0.5528,-0.625,0.0241,0.026,0.255,0.4792,0.9333,5.2,0.0215,0.1979,0.5196,0.9375,5.3125,no single dominant feature; multivariate behavioral shift
V0006,7,7,8,8,2.5557,0.5577,0.2,0.3464,0.027,0.4464,-0.7375,0.0,-1.2647,0.0158,0.0268,0.704,1.0,6.0,0.0146,0.0982,0.4881,1.0,4.125,no single dominant feature; multivariate behavioral shift
V0007,12,12,18,21,1.3883,0.401,0.15,0.2583,0.5954,0.5047,-0.526,0.0,-0.3671,0.0203,0.1218,0.6065,0.9444,5.7222,0.0218,0.1823,0.43,1.0,6.0476,no single dominant feature; multivariate behavioral shift
V0008,6,6,9,8,1.7494,2.4467,0.3,0.431,0.3012,-0.2521,-1.4192,0.0,5.5083,0.0204,0.0902,0.6028,0.7778,5.0,0.0176,0.0252,0.5922,1.0,6.875,network exposure increased (5.5 robust deviations)
V0009,6,7,7,10,1.1431,0.3105,0.1429,0.1942,0.4665,0.1155,-0.4796,0.0,-0.8094,0.0151,0.2624,0.5774,1.0,5.8571,0.0183,0.2132,0.45,1.0,4.9,no single dominant feature; multivariate behavioral shift
V0010,15,16,39,57,1.3904,0.3812,0.1375,0.2527,0.5621,0.2381,-0.027,-1.4035,-0.4733,0.0339,0.1042,0.5402,0.8974,4.4872,0.0447,0.122,0.549,0.8596,4.2982,no single dominant feature; multivariate behavioral shift
V0011,12,12,24,16,1.1296,0.053,0.0,0.1451,-0.4202,-0.3901,-0.0658,-1.25,0.1927,0.0272,0.2883,0.4416,0.9167,4.7917,0.0169,0.2568,0.4069,0.875,5.125,no single dominant feature; multivariate behavioral shift
V0012,8,8,10,9,1.0069,0.1933,0.1,0.1685,0.0342,-0.4812,0.3394,0.0,-0.3653,0.0159,0.1645,0.3795,1.0,5.6,0.0137,0.0421,0.4667,1.0,4.6667,no single dominant feature; multivariate behavioral shift
V0013,11,11,16,16,0.6531,0.2757,0.0909,0.1498,0.3414,-0.1867,0.058,-0.625,-0.0843,0.0203,0.233,0.4422,0.9375,4.875,0.018,0.142,0.5215,0.9375,4.875,no single dominant feature; multivariate behavioral shift
