vendor_id,legal_name,name,vendor_type,region,headquarters_region,primary_category,secondary_category,specialization,registration_date
V0001,Apex Infrastructure 001,Apex Infrastructure 001,PARTNERSHIP,KA-BENGALURU,KA-BENGALURU,MEDICAL_SUPPLIES,LAB_EQUIPMENT,0.664,2019-11-06
V0002,Bharat Infrastructure 002,Bharat Infrastructure 002,COMPANY,KA-BENGALURU,KA-BENGALURU,FURNITURE,BUILDING_CONSTRUCTION,0.614,2018-05-21
V0003,Crest Infrastructure 003,Crest Infrastructure 003,COMPANY,KA-SOUTH,KA-SOUTH,VEHICLE_SUPPLIES,CIVIL_MAINTENANCE,0.908,2023-04-01
V0004,Delta Infrastructure 004,Delta Infrastructure 004,COMPANY,AP-SOUTH,AP-SOUTH,CIVIL_MAINTENANCE,BUILDING_CONSTRUCTION,0.774,2012-10-30
V0005,Eastern Infrastructure 005,Eastern Infrastructure 005,PROPRIETORSHIP,KA-SOUTH,KA-SOUTH,VEHICLE_SUPPLIES,CIVIL_MAINTENANCE,0.843,2020-12-13
V0006,Frontier Infrastructure 006,Frontier Infrastructure 006,PROPRIETORSHIP,KA-SOUTH,KA-SOUTH,CIVIL_MAINTENANCE,ROAD_CONSTRUCTION,0.648,2020-06-30
V0007,Galaxy Infrastructure 007,Galaxy Infrastructure 007,COMPANY,KA-BENGALURU,KA-BENGALURU,FURNITURE,BUILDING_CONSTRUCTION,0.748,2014-03-17
V0008,Horizon Infrastructure 008,Horizon Infrastructure 008,COMPANY,KA-SOUTH,KA-SOUTH,LAB_EQUIPMENT,IT_SERVICES,0.886,2017-10-30
V0009,Indus Infrastructure 009,Indus Infrastructure 009,COMPANY,AP-SOUTH,AP-SOUTH,CIVIL_MAINTENANCE,ROAD_CONSTRUCTION,0.719,2023-12-24
V0010,Jupiter Infrastructure 010,Jupiter Infrastructure 010,PARTNERSHIP,KA-SOUTH,KA-SOUTH,LAB_EQUIPMENT,IT_SERVICES,0.955,2024-01-04
V0011,Kaveri Infrastructure 011,Kaveri Infrastructure 011,COMPANY,KA-BENGALURU,KA-BENGALURU,ELECTRICAL_EQUIPMENT,IT_SERVICES,0.793,2017-06-21
V0012,Lotus Infrastructure 012,Lotus Infrastructure 012,COMPANY,KA-SOUTH,KA-SOUTH,MEDICAL_SUPPLIES,LAB_EQUIPMENT,0.817,2022-07-09
V0013,Metro Infrastructure 013,Metro Infrastructure 013,COMPANY,KA-NORTH,KA-NORTH,ELECTRICAL_EQUIPMENT,CIVIL_MAINTENANCE,0.931,2019-07-23
V0014,National Infrastructure 014,National Infrastructure 014,PROPRIETORSHIP,KA-NORTH,KA-NORTH,FURNITURE,BUILDING_CONSTRUCTION,0.821,2013-05-29
V0015,Omega Infrastructure 015,Omega Infrastructure 015,PARTNERSHIP,KA-NORTH,KA-NORTH,FURNITURE,BUILDING_CONSTRUCTION,0.529,2014-11-23
V0016,Prime Infrastructure 016,Prime Infrastructure 016,COMPANY,KA-SOUTH,KA-SOUTH,FURNITURE,BUILDING_CONSTRUCTION,0.719,2024-12-02
V0017,Quantum Infrastructure 017,Quantum Infrastructure 017,PARTNERSHIP,KA-BENGALURU,KA-BENGALURU,CIVIL_MAINTENANCE,ROAD_CONSTRUCTION,0.736,2020-05-07
V0018,Raven Infrastructure 018,Raven Infrastructure 018,PROPRIETORSHIP,TN-NORTH,TN-NORTH,BUILDING_CONSTRUCTION,CIVIL_MAINTENANCE,0.653,2025-01-11
V0019,Summit Infrastructure 019,Summit Infrastructure 019,PROPRIETORSHIP,KA-SOUTH,KA-SOUTH,WATER_INFRASTRUCTURE,CIVIL_MAINTENANCE,0.753,2013-05-08
V0020,Vertex Infrastructure 020,Vertex Infrastructure 020,COMPANY,KA-NORTH,KA-NORTH,MEDICAL_SUPPLIES,LAB_EQUIPMENT,0.851,2023-03-07
V0021,Apex Engineering 021,Apex Engineering 021,COMPANY,KA-CENTRAL,KA-CENTRAL,CIVIL_MAINTENANCE,ROAD_CONSTRUCTION,0.657,2020-11-13
V0022,Bharat Engineering 022,Bharat Engineering 022,COMPANY,KA-NORTH,KA-NORTH,LAB_EQUIPMENT,MEDICAL_SUPPLIES,0.963,2018-02-22
V0023,Crest Engineering 023,Crest Engineering 023,COMPANY,KA-NORTH,KA-NORTH,BUILDING_CONSTRUCTION,ELECTRICAL_EQUIPMENT,0.906,2023-02-04
V0024,Delta Engineering 024,Delta Engineering 024,COMPANY,TN-NORTH,TN-NORTH,ROAD_CONSTRUCTION,CIVIL_MAINTENANCE,0.606,2021-08-23
V0025,Eastern Engineering 025,Eastern Engineering 025,COMPANY,KA-CENTRAL,KA-CENTRAL,LAB_EQUIPMENT,IT_SERVICES,0.99,2020-10-21
V0026,Frontier Engineering 026,Frontier Engineering 026,COMPANY,KA-BENGALURU,KA-BENGALURU,LAB_EQUIPMENT,IT_SERVICES,0.99,2020-01-22
V0027,Galaxy Engineering 027,Galaxy Engineering 027,PROPRIETORSHIP,AP-SOUTH,AP-SOUTH,BUILDING_CONSTRUCTION,ELECTRICAL_EQUIPMENT,0.735,2017-12-13
V0028,Horizon Engineering 028,Horizon Engineering 028,COMPANY,KA-CENTRAL,KA-CENTRAL,WATER_INFRASTRUCTURE,CIVIL_MAINTENANCE,0.776,2022-10-03
V0029,Indus Engineering 029,Indus Engineering 029,COMPANY,AP-SOUTH,AP-SOUTH,ELECTRICAL_EQUIPMENT,CIVIL_MAINTENANCE,0.854,2015-01-29
V0030,Jupiter Engineering 030,Jupiter Engineering 030,COMPANY,KA-BENGALURU,KA-BENGALURU,IT_SERVICES,LAB_EQUIPMENT,0.846,2023-11-09
V0031,Kaveri Engineering 031,Kaveri Engineering 031,COMPANY,KA-SOUTH,KA-SOUTH,IT_SERVICES,LAB_EQUIPMENT,0.827,2017-09-08
V0032,Lotus Engineering 032,Lotus Engineering 032,COMPANY,KA-SOUTH,KA-SOUTH,VEHICLE_SUPPLIES,CIVIL_MAINTENANCE,0.619,2020-09-04
V0033,Metro Engineering 033,Metro Engineering 033,COMPANY,KA-CENTRAL,KA-CENTRAL,MEDICAL_SUPPLIES,LAB_EQUIPMENT,0.923,2021-10-23
V0034,National Engineering 034,National Engineering 034,COMPANY,KA-CENTRAL,KA-CENTRAL,ELECTRICAL_EQUIPMENT,CIVIL_MAINTENANCE,0.905,2017-01-29
V0035,Omega Engineering 035,Omega Engineering 035,COMPANY,KA-CENTRAL,KA-CENTRAL,IT_SERVICES,LAB_EQUIPMENT,0.892,2015-12-26
V0036,Prime Engineering 036,Prime Engineering 036,PARTNERSHIP,KA-SOUTH,KA-SOUTH,CIVIL_MAINTENANCE,BUILDING_CONSTRUCTION,0.596,2017-07-21
V0037,Quantum Engineering 037,Quantum Engineering 037,COMPANY,AP-SOUTH,AP-SOUTH,ELECTRICAL_EQUIPMENT,IT_SERVICES,0.588,2018-10-26
V0038,Raven Engineering 038,Raven Engineering 038,COMPANY,TN-NORTH,TN-NORTH,FURNITURE,BUILDING_CONSTRUCTION,0.766,2019-08-03
V0039,Summit Engineering 039,Summit Engineering 039,PROPRIETORSHIP,KA-CENTRAL,KA-CENTRAL,BUILDING_CONSTRUCTION,CIVIL_MAINTENANCE,0.901,2017-07-10
V0040,Vertex Engineering 040,Vertex Engineering 040,COMPANY,AP-SOUTH,AP-SOUTH,IT_SERVICES,ELECTRICAL_EQUIPMENT,0.876,2012-08-23
V0041,Apex Enterprises 041,Apex Enterprises 041,PARTNERSHIP,AP-SOUTH,AP-SOUTH,LAB_EQUIPMENT,MEDICAL_SUPPLIES,0.98,2016-10-22
V0042,Bharat Enterprises 042,Bharat Enterprises 042,COMPANY,TN-NORTH,TN-NORTH,IT_SERVICES,LAB_EQUIPMENT,0.765,2021-04-04
V0043,Crest Enterprises 043,Crest Enterprises 043,COMPANY,KA-SOUTH,KA-SOUTH,LAB_EQUIPMENT,MEDICAL_SUPPLIES,0.774,2012-12-27
V0044,Delta Enterprises 044,Delta Enterprises 044,PARTNERSHIP,TN-NORTH,TN-NORTH,WATER_INFRASTRUCTURE,ROAD_CONSTRUCTION,0.756,2018-07-30
V0045,Eastern Enterprises 045,Eastern Enterprises 045,COMPANY,KA-SOUTH,KA-SOUTH,CIVIL_MAINTENANCE,ROAD_CONSTRUCTION,0.694,2018-09-26
V0046,Frontier Enterprises 046,Frontier Enterprises 046,COMPANY,KA-NORTH,KA-NORTH,CIVIL_MAINTENANCE,BUILDING_CONSTRUCTION,0.697,2021-06-02
V0047,Galaxy Enterprises 047,Galaxy Enterprises 047,COMPANY,KA-SOUTH,KA-SOUTH,ELECTRICAL_EQUIPMENT,CIVIL_MAINTENANCE,0.921,2013-10-13
V0048,Horizon Enterprises 048,Horizon Enterprises 048,COMPANY,KA-SOUTH,KA-SOUTH,ELECTRICAL_EQUIPMENT,CIVIL_MAINTENANCE,0.65,2022-05-01
V0049,Indus Enterprises 049,Indus Enterprises 049,COMPANY,KA-BENGALURU,KA-BENGALURU,LAB_EQUIPMENT,MEDICAL_SUPPLIES,0.961,2012-05-22
V0050,Jupiter Enterprises 050,Jupiter Enterprises 050,COMPANY,KA-BENGALURU,KA-BENGALURU,LAB_EQUIPMENT,IT_SERVICES,0.99,2012-05-19
V0051,Kaveri Enterprises 051,Kaveri Enterprises 051,COMPANY,TN-NORTH,TN-NORTH,VEHICLE_SUPPLIES,CIVIL_MAINTENANCE,0.806,2016-10-28
V0052,Lotus Enterprises 052,Lotus Enterprises 052,COMPANY,KA-BENGALURU,KA-BENGALURU,ROAD_CONSTRUCTION,WATER_INFRASTRUCTURE,0.806,2012-12-17
V0053,Metro Enterprises 053,Metro Enterprises 053,PARTNERSHIP,KA-NORTH,KA-NORTH,CIVIL_MAINTENANCE,BUILDING_CONSTRUCTION,0.605,2020-04-24
V0054,National Enterprises 054,National Enterprises 054,COMPANY,KA-CENTRAL,KA-CENTRAL,WATER_INFRASTRUCTURE,ROAD_CONSTRUCTION,0.847,2013-10-26
V0055,Omega Enterprises 055,Omega Enterprises 055,COMPANY,KA-SOUTH,KA-SOUTH,CIVIL_MAINTENANCE,BUILDING_CONSTRUCTION,0.718,2016-12-14
V0056,Prime Enterprises 056,Prime Enterprises 056,COMPANY,KA-BENGALURU,KA-BENGALURU,ELECTRICAL_EQUIPMENT,IT_SERVICES,0.743,2020-04-18
V0057,Quantum Enterprises 057,Quantum Enterprises 057,PARTNERSHIP,AP-SOUTH,AP-SOUTH,CIVIL_MAINTENANCE,ROAD_CONSTRUCTION,0.654,2013-04-18
V0058,Raven Enterprises 058,Raven Enterprises 058,COMPANY,KA-BENGALURU,KA-BENGALURU,MEDICAL_SUPPLIES,LAB_EQUIPMENT,0.846,2022-01-07
V0059,Summit Enterprises 059,Summit Enterprises 059,COMPANY,TN-NORTH,TN-NORTH,BUILDING_CONSTRUCTION,CIVIL_MAINTENANCE,0.774,2013-09-13
V0060,Vertex Enterprises 060,Vertex Enterprises 060,PARTNERSHIP,KA-SOUTH,KA-SOUTH,CIVIL_MAINTENANCE,BUILDING_CONSTRUCTION,0.753,2019-03-28
V0061,Apex Solutions 061,Apex Solutions 061,COMPANY,KA-BENGALURU,KA-BENGALURU,MEDICAL_SUPPLIES,LAB_EQUIPMENT,0.746,2014-05-22
V0062,Bharat Solutions 062,Bharat Solutions 062,PARTNERSHIP,KA-SOUTH,KA-SOUTH,BUILDING_CONSTRUCTION,ELECTRICAL_EQUIPMENT,0.695,2024-01-26
V0063,Crest Solutions 063,Crest Solutions 063,COMPANY,KA-BENGALURU,KA-BENGALURU,BUILDING_CONSTRUCTION,ELECTRICAL_EQUIPMENT,0.69,2025-01-21
V0064,Delta Solutions 064,Delta Solutions 064,PROPRIETORSHIP,KA-NORTH,KA-NORTH,CIVIL_MAINTENANCE,ROAD_CONSTRUCTION,0.846,2012-05-11
V0065,Eastern Solutions 065,Eastern Solutions 065,COMPANY,TN-NORTH,TN-NORTH,VEHICLE_SUPPLIES,CIVIL_MAINTENANCE,0.784,2012-07-02
V0066,Frontier Solutions 066,Frontier Solutions 066,PARTNERSHIP,KA-SOUTH,KA-SOUTH,FURNITURE,BUILDING_CONSTRUCTION,0.682,2014-06-26
V0067,Galaxy Solutions 067,Galaxy Solutions 067,PROPRIETORSHIP,KA-SOUTH,KA-SOUTH,CIVIL_MAINTENANCE,ROAD_CONSTRUCTION,0.632,2023-07-28
V0068,Horizon Solutions 068,Horizon Solutions 068,COMPANY,KA-BENGALURU,KA-BENGALURU,ELECTRICAL_EQUIPMENT,CIVIL_MAINTENANCE,0.695,2018-03-19
V0069,Indus Solutions 069,Indus Solutions 069,COMPANY,KA-BENGALURU,KA-BENGALURU,CIVIL_MAINTENANCE,ROAD_CONSTRUCTION,0.728,2020-12-31
