category,region,tender_count,unique_winners,top_vendor,top_vendor_wins,top_vendor_share,hhi
LAB_EQUIPMENT,KA-NORTH,31,13,V0277,8,0.2581,0.1342
LAB_EQUIPMENT,KA-BENGALURU,13,9,V0020,3,0.2308,0.1361
IT_SERVICES,TN-NORTH,9,8,V0026,2,0.2222,0.1358
VEHICLE_SUPPLIES,TN-NORTH,14,11,V0422,3,0.2143,0.1122
FURNITURE,TN-NORTH,10,9,V0093,2,0.2,0.12
IT_SERVICES,AP-SOUTH,10,9,V0293,2,0.2,0.12
VEHICLE_SUPPLIES,KA-BENGALURU,15,12,V0142,3,0.2,0.1022
FURNITURE,KA-SOUTH,52,23,V0379,10,0.1923,0.0784
WATER_INFRASTRUCTURE,KA-BENGALURU,18,13,V0366,3,0.1667,0.0988
WATER_INFRASTRUCTURE,AP-SOUTH,13,12,V0371,2,0.1538,0.0888
ELECTRICAL_EQUIPMENT,KA-CENTRAL,66,40,V0063,10,0.1515,0.0468
ELECTRICAL_EQUIPMENT,AP-SOUTH,20,16,V0029,3,0.15,0.075
LAB_EQUIPMENT,KA-CENTRAL,36,14,V0144,5,0.1389,0.0895
BUILDING_CONSTRUCTION,KA-BENGALURU,29,25,V0523,4,0.1379,0.0511
ELECTRICAL_EQUIPMENT,TN-NORTH,15,14,V0501,2,0.1333,0.0756
FURNITURE,KA-BENGALURU,23,17,V0082,3,0.1304,0.0699
ELECTRICAL_EQUIPMENT,KA-BENGALURU,25,20,V0080,3,0.12,0.0592
BUILDING_CONSTRUCTION,AP-SOUTH,9,9,V0018,1,0.1111,0.1111
IT_SERVICES,KA-BENGALURU,18,17,V0140,2,0.1111,0.0617
ELECTRICAL_EQUIPMENT,KA-SOUTH,64,35,V0062,7,0.1094,0.042
ROAD_CONSTRUCTION,AP-SOUTH,19,16,V0009,2,0.1053,0.0693
VEHICLE_SUPPLIES,KA-SOUTH,38,23,V0169,4,0.1053,0.0568
ELECTRICAL_EQUIPMENT,KA-NORTH,69,35,V0061,7,0.1014,0.041
WATER_INFRASTRUCTURE,TN-NORTH,10,10,V0088,1,0.1,0.1
VEHICLE_SUPPLIES,KA-NORTH,40,28,V0335,4,0.1,0.0475
FURNITURE,KA-CENTRAL,51,29,V0132,5,0.098,0.0458
ROAD_CONSTRUCTION,KA-BENGALURU,31,23,V0324,3,0.0968,0.0531
MEDICAL_SUPPLIES,KA-SOUTH,67,42,V0378,6,0.0896,0.0336
BUILDING_CONSTRUCTION,KA-NORTH,81,53,V0244,7,0.0864,0.0273
VEHICLE_SUPPLIES,KA-CENTRAL,47,29,V0419,4,0.0851,0.0457
BUILDING_CONSTRUCTION,TN-NORTH,12,12,V0154,1,0.0833,0.0833
LAB_EQUIPMENT,KA-SOUTH,24,17,V0307,2,0.0833,0.066
CIVIL_MAINTENANCE,KA-BENGALURU,24,22,V0186,2,0.0833,0.0486
MEDICAL_SUPPLIES,KA-BENGALURU,38,30,V0164,3,0.0789,0.0388
FURNITURE,KA-NORTH,51,32,V0123,4,0.0784,0.0404
IT_SERVICES,KA-SOUTH,64,42,V0417,5,0.0781,0.0361
IT_SERVICES,KA-NORTH,80,47,V0178,6,0.075,0.0297
WATER_INFRASTRUCTURE,KA-SOUTH,56,35,V0304,4,0.0714,0.0383
CIVIL_MAINTENANCE,TN-NORTH,15,15,V0179,1,0.0667,0.0667
CIVIL_MAINTENANCE,KA-NORTH,91,56,V0072,6,0.0659,0.0245
ROAD_CONSTRUCTION,TN-NORTH,16,16,V0072,1,0.0625,0.0625
WATER_INFRASTRUCTURE,KA-NORTH,64,35,V0216,4,0.0625,0.0371
MEDICAL_SUPPLIES,KA-CENTRAL,81,53,V0528,5,0.0617,0.0245
CIVIL_MAINTENANCE,KA-CENTRAL,114,62,V0034,7,0.0614,0.0254
IT_SERVICES,KA-CENTRAL,83,43,V0494,5,0.0602,0.0309
ROAD_CONSTRUCTION,KA-SOUTH,85,49,V0525,5,0.0588,0.0295
WATER_INFRASTRUCTURE,KA-CENTRAL,90,49,V0483,5,0.0556,0.0259
ROAD_CONSTRUCTION,KA-CENTRAL,90,56,V0042,5,0.0556,0.023
ROAD_CONSTRUCTION,KA-NORTH,93,62,V0042,5,0.0538,0.0216
MEDICAL_SUPPLIES,KA-NORTH,75,46,V0471,4,0.0533,0.0283
CIVIL_MAINTENANCE,AP-SOUTH,19,19,V0051,1,0.0526,0.0526
BUILDING_CONSTRUCTION,KA-SOUTH,79,47,V0016,4,0.0506,0.0277
CIVIL_MAINTENANCE,KA-SOUTH,82,53,V0047,4,0.0488,0.0241
BUILDING_CONSTRUCTION,KA-CENTRAL,99,62,V0468,4,0.0404,0.0203
